"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"14:11:44:897","38642756873639","   0.103","   5.750"," 1005","  700"," 1500"," 1015","   3.065","   0.314","   0.087","   0.714","   0.073","   0.020"," 65","0"," 61"," 66","  64.265","  61.000","  16.944","  28.000","    0","  300"
"14:11:45:013","38642987410451","   0.218","  19.988"," 2671","  700"," 3300"," 2993","  10.620","   1.540","   0.428","   7.169","   0.901","   0.250"," 79","0"," 61"," 79","  69.092"," 122.000","  33.889","  28.000","    0","  300"
"14:11:45:113","38643188373605","   0.319","  23.788"," 3272","  800"," 3300"," 3800","  15.228","   3.073","   0.854","  11.916","   2.100","   0.583"," 80","0"," 68"," 81","  75.095"," 190.000","  52.778","  28.000","    0","  300"
"14:11:45:215","38643392202801","   0.421","  29.461"," 2952","  700"," 3300"," 3797","  16.400","   4.747","   1.319","  12.811","   3.408","   0.947"," 83","0"," 68"," 83","  76.262"," 258.000","  71.667","  28.000","    0","  300"
"14:11:45:316","38643592597059","   0.521","  34.205"," 3265","  700"," 3300"," 3800","  21.549","   6.910","   1.919","  18.093","   5.224","   1.451"," 86","0"," 71"," 88","  81.576"," 329.000","  91.389","  28.000","    0","  300"
"14:11:45:416","38643792990383","   0.621","  39.234"," 3272","  700"," 3300"," 3800","  23.004","   9.218","   2.561","  19.372","   7.168","   1.991"," 85","0"," 75"," 92","  84.645"," 404.000"," 112.222","  28.000","    0","  300"
"14:11:45:517","38643994465193","   0.722","  55.408"," 3151","  700"," 3300"," 3800","  26.965","  11.939","   3.316","  22.349","   9.423","   2.617"," 91","0"," 75"," 91","  85.711"," 479.000"," 133.056","  28.000","    0","  300"
"14:11:45:620","38644200938529","   0.826","  70.629"," 3293"," 3200"," 3300"," 3800","  31.702","  15.217","   4.227","  25.749","  12.085","   3.357"," 92","0"," 85"," 95","  90.533"," 564.000"," 156.667","  28.000","    0","  300"
"14:11:45:724","38644408925115","   0.930","  48.156"," 3067","  700"," 3300"," 3800","  24.535","  17.773","   4.937","  20.168","  14.186","   3.941"," 88","0"," 78"," 94","  88.321"," 642.000"," 178.333","  28.000","    0","  300"
"14:11:45:827","38644613963361","   1.033","  48.326"," 2903","  700"," 3300"," 3800","  22.452","  20.078","   5.577","  18.550","  16.091","   4.470"," 89","0"," 76"," 90","  84.968"," 718.000"," 199.444","  28.000","    0","  300"
