"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","CPU Min Frequency_0(MHz)","CPU Max Frequency_0(MHz)","CPU Requsted Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","CPU Min Temperature_0(C)","CPU Max Temperature_0(C)","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)","GT Requsted Frequency(MHz)"
"15:11:01:267","41332532121777","   0.105","   4.954","  923","  700"," 1200","  935","   2.702","   0.284","   0.079","   0.518","   0.054","   0.015"," 69","0"," 64"," 68","  67.018","  64.000","  17.778","  28.000","    0","  300"
"15:11:01:383","41332763000685","   0.221","  18.412"," 2531","  700"," 3300"," 2806","   9.350","   1.365","   0.379","   6.171","   0.768","   0.213"," 80","0"," 64"," 81","  71.283"," 128.000","  35.556","  28.000","    0","  300"
"15:11:01:483","41332963386397","   0.321","  20.115"," 3249"," 1900"," 3300"," 3753","  13.240","   2.694","   0.748","   9.898","   1.761","   0.489"," 81","0"," 69"," 82","  76.205"," 197.000","  54.722","  28.000","    0","  300"
"15:11:01:583","41333164334083","   0.422","  19.518"," 3200"," 2100"," 3300"," 3796","  12.874","   3.989","   1.108","   9.494","   2.717","   0.755"," 74","0"," 69"," 84","  77.680"," 266.000","  73.889","  28.000","    0","  300"
"15:11:01:684","41333364792551","   0.522","  22.621"," 2552","  700"," 3300"," 2956","  10.776","   5.071","   1.409","   7.679","   3.488","   0.969"," 84","0"," 67"," 85","  74.949"," 333.000","  92.500","  28.000","    0","  300"
"15:11:01:784","41333565093829","   0.622","  31.414"," 3290"," 2500"," 3300"," 3800","  20.270","   7.104","   1.973","  16.772","   5.170","   1.436"," 86","0"," 72"," 92","  83.278"," 405.000"," 112.500","  28.000","    0","  300"
"15:11:01:885","41333766975121","   0.723","  32.675"," 3289"," 2300"," 3300"," 3799","  21.023","   9.230","   2.564","  17.251","   6.914","   1.921"," 91","0"," 75"," 92","  84.637"," 480.000"," 133.333","  28.000","    0","  300"
"15:11:01:986","41333967263403","   0.824","  32.984"," 3260"," 1100"," 3300"," 3797","  20.288","  11.265","   3.129","  16.634","   8.583","   2.384"," 93","0"," 75"," 94","  85.479"," 555.000"," 154.167","  28.000","    0","  300"
"15:11:02:086","41334167573633","   0.924","  58.644"," 3293"," 3100"," 3400"," 3800","  32.375","  14.513","   4.031","  28.197","  11.411","   3.170"," 98","0"," 89"," 98","  93.848"," 644.000"," 178.889","  28.000","    0","  300"
"15:11:02:186","41334367952765","   1.024","  40.182"," 3291"," 2400"," 3800"," 3800","  24.171","  16.938","   4.705","  20.324","  13.451","   3.736"," 93","0"," 79","100","  92.374"," 723.000"," 200.833","  28.000","    0","  300"
"15:11:02:287","41334568465017","   1.125","  26.355"," 3278"," 2000"," 3300"," 3789","  17.243","  18.670","   5.186","  13.571","  14.813","   4.115"," 88","0"," 77"," 95","  85.282"," 800.000"," 222.222","  28.000","    0","  300"
"15:11:02:387","41334768887999","   1.225","  29.973"," 3282"," 1500"," 3300"," 3799","  18.542","  20.531","   5.703","  14.904","  16.309","   4.530"," 90","0"," 75"," 95","  85.914"," 875.000"," 243.056","  28.000","    0","  300"
"15:11:02:489","41334971614353","   1.327","  36.167"," 3187","  700"," 3300"," 3800","  20.769","  22.639","   6.289","  16.926","  18.028","   5.008"," 89","0"," 77"," 93","  86.377"," 952.000"," 264.444","  28.000","    0","  300"
"15:11:02:592","41335177830469","   1.430","  46.092"," 3272"," 2300"," 3300"," 3800","  25.957","  25.320","   7.033","  21.900","  20.289","   5.636"," 94","0"," 79"," 96","  89.998","1031.000"," 286.389","  28.000","    0","  300"
"15:11:02:692","41335378095813","   1.530","  53.329"," 3292"," 2600"," 3300"," 3800","  29.978","  28.327","   7.868","  25.686","  22.866","   6.352"," 98","0"," 78","100","  93.489","1109.000"," 308.056","  28.000","    0","  300"
"15:11:02:794","41335581992027","   1.632","  60.802"," 3291"," 2400"," 3300"," 3800","  32.606","  31.656","   8.793","  28.138","  25.739","   7.150","100","0"," 87","100","  97.388","1196.000"," 332.222","  28.000","    0","  300"
"15:11:02:899","41335791661445","   1.737","  64.119"," 3275"," 2600"," 3400"," 3800","  33.145","  35.136","   9.760","  29.026","  28.787","   7.996"," 99","0"," 95","100","  99.079","1291.000"," 358.611","  28.000","    0","  300"
"15:11:03:002","41335996396817","   1.840","  69.473"," 3151","  700"," 3300"," 3800","  30.838","  38.298","  10.638","  26.540","  31.508","   8.752","100","0"," 89","100","  97.702","1380.000"," 383.333","  28.000","    0","  300"
"15:11:03:102","41336196676075","   1.940","  62.844"," 3222"," 2000"," 3300"," 3800","  31.365","  41.444","  11.512","  26.907","  34.207","   9.502"," 99","0"," 92","100","  97.694","1472.000"," 408.889","  28.000","  500","  500"
"15:11:03:202","41336396915645","   2.041","  61.248"," 3203"," 2800"," 3300"," 3800","  30.468","  44.499","  12.361","  26.152","  36.829","  10.230"," 99","0"," 94","100","  97.853","1566.000"," 435.000","  28.000","    0","  300"
"15:11:03:303","41336597163719","   2.141","  58.733"," 3215"," 3000"," 3300"," 3800","  30.556","  47.564","  13.212","  26.303","  39.467","  10.963"," 99","0"," 92","100","  97.088","1658.000"," 460.556","  28.000","    0","  300"
"15:11:03:404","41336798632703","   2.242","  66.394"," 3167"," 2300"," 3300"," 3800","  30.304","  50.621","  14.061","  25.860","  42.076","  11.688","100","0"," 87","100","  97.416","1745.000"," 484.722","  28.000","    0","  300"
"15:11:03:504","41336998902895","   2.342","  64.509"," 3182"," 2700"," 3300"," 3800","  30.471","  53.677","  14.910","  26.094","  44.693","  12.415","100","0"," 90","100","  97.311","1835.000"," 509.722","  28.000","    0","  300"
"15:11:03:608","41337206609143","   2.446","  57.998"," 3190"," 2200"," 3300"," 3800","  29.237","  56.719","  15.755","  25.142","  47.308","  13.141"," 98","0"," 89","100","  96.978","1924.000"," 534.444","  28.000","    0","  300"
"15:11:03:713","41337416550589","   2.551","  58.560"," 3221"," 2700"," 3300"," 3800","  31.097","  59.988","  16.663","  26.863","  50.133","  13.926","100","0"," 89","100","  98.194","2013.000"," 559.167","  28.000","    0","  300"
"15:11:03:817","41337624526477","   2.655","  50.491"," 3250"," 2300"," 3300"," 3800","  28.228","  62.928","  17.480","  24.044","  52.637","  14.621"," 99","0"," 85","100","  96.548","2098.000"," 582.778","  28.000","    0","  300"
"15:11:03:920","41337830891743","   2.759","  56.208"," 3224"," 3000"," 3300"," 3800","  29.851","  66.013","  18.337","  25.672","  55.290","  15.358","100","0"," 90","100","  97.424","2188.000"," 607.778","  28.000","    0","  300"
"15:11:04:024","41338038118541","   2.862","  70.911"," 3136"," 3000"," 3200"," 3800","  30.262","  69.154","  19.209","  25.973","  57.986","  16.107","100","0"," 94","100","  97.445","2282.000"," 633.889","  28.000","    0","  300"
"15:11:04:125","41338238363279","   2.963","  66.568"," 3117"," 2400"," 3200"," 3800","  29.581","  72.120","  20.033","  25.567","  60.550","  16.819","100","0"," 93","100","  97.178","2375.000"," 659.722","  28.000","    0","  300"
