TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.bcel.verifier.VerifierTestCase#testDefinitionImpl,3,1,191.75856,11.440992,16.657408,191.75856,11.440992,16.657408,575.27568,34.322976000000004,49.972224000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.bcel.generic.InstructionHandleTestCase#testGetIHnull,3,1,178.228256,11.421966,15.56641,178.228256,11.421966,15.56641,534.684768,34.265898,46.69923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.bcel.generic.ArrayTypeTest#testGetSignatureDim2,5,5,181.207947,11.41898,15.86324,36.241589399999995,2.2837959999999997,3.1726479999999997,181.207947,11.41898,15.86324,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.bcel.util.BCELifierTestCase#testMainNoArg,13,3,183.684723,11.417154,16.063722,61.228241,3.805718,5.3545739999999995,795.9671329999999,49.474334,69.609462,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
org.apache.bcel.util.Class2HTMLTestCase#testConvertJavaUtil,10,5,184.368515,11.468702,16.132421,36.873703,2.2937404,3.2264842000000002,368.73703,22.937404,32.264842,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
org.apache.bcel.generic.BasicTypeTest#testSignature,11,11,183.684494,11.430428,16.071644,16.698590363636363,1.039129818181818,1.4610585454545453,183.684494,11.430428,16.071644,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.bcel.generic.ISHRTestCase#accept,12,2,178.163147,11.391161,15.62766,89.0815735,5.6955805,7.81383,1068.978882,68.34696600000001,93.76596,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.bcel.util.ClassPathTestCase#testGetClassFile,3,1,178.991714,11.444185,15.658724,178.991714,11.444185,15.658724,536.975142,34.332555,46.976172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.bcel.generic.ArrayTypeTest#testGetSignatureDim1,5,5,179.469818,11.415983,15.700211,35.8939636,2.2831966,3.1400422,179.469818,11.415983,15.700211,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.bcel.generic.I2CTestCase#accept,12,2,176.267334,11.441659,15.447981,88.133667,5.7208295,7.7239905,1057.604004,68.64995400000001,92.687886,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
