TC,LOC,SC,E
org.apache.bcel.verifier.VerifyBadClassesTestCase#testB312,3,0,187.394394
org.apache.bcel.classfile.JDKClassDumpTestCase#testPerformance,3,0,194.738617
org.apache.bcel.generic.IMPDEP1TestCase#accept,8,2,176.894775
org.apache.bcel.generic.BranchHandleTestCase#testsetInstructionnotBI,5,4,187.958908
org.apache.bcel.verifier.VerifierInvokeTestCase#testLegalInvokeInterface,3,0,184.10817
org.apache.bcel.util.ModularRuntimeImageTestCase#testListJreModulePackageDir,5,5,179.443329
org.apache.bcel.generic.PUTFIELDTestCase#accept,16,2,182.496948
org.apache.bcel.CounterVisitorTestCase#testConstantFieldrefCount,3,0,191.134888
org.apache.bcel.classfile.JDKClassDumpTestCase#testPerformanceJmod,3,0,683.00769
org.apache.bcel.generic.IMULTestCase#accept,12,2,184.349014
org.apache.bcel.classfile.UtilityTestCase#testClearBit,9,0,176.774719
org.apache.bcel.util.Class2HTMLTestCase#testReferenceToConstant,3,1,175.214935
org.apache.bcel.CounterVisitorTestCase#testMethodCount,3,0,190.305984
org.apache.bcel.CounterVisitorTestCase#testConstantFloatCount,3,0,184.483673
org.apache.bcel.generic.InstructionHandleTestCase#testBCEL195,6,1,177.463364
org.apache.bcel.generic.InstructionHandleTestCase#testsetInstructionNull,5,4,178.36586
org.apache.bcel.generic.MethodGenTestCase#testInvalidNullMethodBody_MailDateFormat,3,0,189.816696
org.apache.bcel.generic.IANDTestCase#accept,12,2,192.353683
org.apache.bcel.generic.DDIVTestCase#accept,12,2,184.467056
org.apache.bcel.CounterVisitorTestCase#testConstantLongCount,3,0,181.647705
org.apache.bcel.generic.F2ITestCase#accept,12,2,182.499847
org.apache.bcel.ElementValueGenTestCase#testCreateStringElementValue,7,0,185.720825
org.apache.bcel.verifier.VerifyJavaUtilTestCase#testTreeMap,3,0,180.615692
org.apache.bcel.PLSETestCase#testBCEL361,12,0,202.126129
org.apache.bcel.generic.IDIVTestCase#accept,13,2,186.487976
org.apache.bcel.PLSETestCase#testCoverage,13,0,181.490662
org.apache.bcel.generic.IADDTestCase#accept,12,2,176.827698
org.apache.bcel.AnonymousClassTestCase#testStaticInnerClassIsNotAnonymous,5,0,186.170486
org.apache.bcel.generic.LDIVTestCase#accept,13,2,176.782272
org.apache.bcel.CounterVisitorTestCase#testConstantStringCount,3,0,187.370453
org.apache.bcel.generic.IREMTestCase#accept,13,2,185.941666
org.apache.bcel.util.InstructionFinderTest#testSearch,13,6,182.081329
org.apache.bcel.CounterVisitorTestCase#testCodeCount,3,0,189.124664
org.apache.bcel.generic.I2BTestCase#accept,12,2,181.348526
org.apache.bcel.classfile.ConstantPoolTestCase#testTooManyConstants,10,2,201.826614
org.apache.bcel.util.LruCacheClassPathRepositoryTestCase#testCacheEviction,14,10,181.315475
org.apache.bcel.generic.I2CTestCase#accept,12,2,176.267334
org.apache.bcel.generic.I2FTestCase#accept,12,2,178.094543
org.apache.bcel.HandleTestCase#testBranchHandle,3,0,209.703995
org.apache.bcel.verifier.VerifierTestCase#testWSDL,3,1,213.841644
org.apache.bcel.CounterVisitorTestCase#testSignatureCount,3,0,187.492355
org.apache.bcel.util.ClassPathRepositoryTestCase#testClassPathRepository,5,3,188.418167
org.apache.bcel.util.LruCacheClassPathRepositoryTestCase#testZeroCacheSize,5,2,184.585739
org.apache.bcel.CounterVisitorTestCase#testStackMapEntryCount,3,0,186.30777
org.apache.bcel.generic.ISUBTestCase#accept,12,2,186.075134
org.apache.bcel.AnnotationAccessFlagTestCase#testAnnotationClassSaysItIs,6,0,179.116821
org.apache.bcel.classfile.UtilityTestCase#testSearchOpcode,8,0,178.960007
org.apache.bcel.CounterVisitorTestCase#testConstantValueCount,3,0,182.026443
org.apache.bcel.ElementValueGenTestCase#testCreateBooleanElementValue,8,0,183.707306
org.apache.bcel.EnclosingMethodAttributeTestCase#testCheckClassLevelNamedInnerClass,10,0,182.87355
org.apache.bcel.util.ClassPathRepositoryTestCase#testClassPath,8,4,181.174271
org.apache.bcel.util.BCELifierTestCase#testJavapCompare,3,1,867.556442
org.apache.bcel.classfile.UtilityTestCase#testSignatureToStringWithGenerics,15,0,180.97879
org.apache.bcel.generic.GETFIELDTestCase#accept,16,2,178.838898
org.apache.bcel.generic.I2LTestCase#accept,12,2,182.756989
org.apache.bcel.ElementValueGenTestCase#testCreateEnumElementValue,8,0,184.956635
org.apache.bcel.verifier.VerifierInvokeTestCase#testLegalInvokeSpecial,4,0,194.942017
org.apache.bcel.generic.FNEGTestCase#accept,12,2,181.626526
org.apache.bcel.CounterVisitorTestCase#testConstantPoolCount,3,0,187.986176
org.apache.bcel.util.ModularRuntimeImageTestCase#testListJrePackages,5,5,186.430222
org.apache.bcel.verifier.VerifyJavaMathTestCase#testBigInteger,3,0,183.530334
org.apache.bcel.PLSETestCase#testBCEL295,12,0,185.966766
org.apache.bcel.verifier.VerifyJavaMathTestCase#testBigDecimal,3,0,176.555984
org.apache.bcel.HandleTestCase#testInstructionHandle,3,0,188.033737
org.apache.bcel.classfile.CodeExceptionTestCase#testReferenceToConstant,3,1,177.577591
org.apache.bcel.CounterVisitorTestCase#testParameterAnnotationCount,3,0,186.395737
org.apache.bcel.generic.MethodGenTestCase#testAnnotationsAreUnpacked,9,0,183.355469
org.apache.bcel.util.ClassPathRepositoryTestCase#testNoClassNotFound,6,4,179.158752
org.apache.bcel.generic.ArrayTypeTest#testGetSignatureDim2,5,5,181.207947
org.apache.bcel.generic.GeneratingAnnotatedClassesTestCase#testTransformClassToClassGen_SimpleTypes,6,0,183.263763
org.apache.bcel.generic.ArrayTypeTest#testGetSize,4,4,182.152557
org.apache.bcel.CounterVisitorTestCase#testExceptionTableCount,3,0,181.714081
org.apache.bcel.generic.ISHLTestCase#accept,12,2,178.530869
org.apache.bcel.verifier.VerifierReturnTestCase#testValidReturn,4,0,198.371948
org.apache.bcel.generic.L2DTestCase#accept,12,2,184.830627
org.apache.bcel.verifier.VerifierInvokeTestCase#testLegalInvokeVirtual,4,0,191.946304
org.apache.bcel.verifier.VerifyBadClassesTestCase#testB309,3,0,181.434753
org.apache.bcel.CounterVisitorTestCase#testConstantNameAndTypeCount,3,0,182.514038
org.apache.bcel.generic.GeneratingAnnotatedClassesTestCase#testModifyingClasses2,11,0,182.193222
org.apache.bcel.verifier.VerifierTestCase#testCollection,3,1,187.698288
org.apache.bcel.verifier.VerifierArrayAccessTestCase#testValidArrayAccess,5,0,188.230881
org.apache.bcel.generic.LMULTestCase#accept,12,2,183.900742
org.apache.bcel.util.ClassPathRepositoryTestCase#testClassWithoutPackage,6,4,183.056381
org.apache.bcel.verifier.VerifierInvokeTestCase#testLegalInvokeStatic,3,0,185.663559
org.apache.bcel.CounterVisitorTestCase#testConstantIntegerCount,3,0,182.992706
org.apache.bcel.CounterVisitorTestCase#testConstantMethodrefCount,3,0,185.798294
org.apache.bcel.verifier.VerifyBadClassesTestCase#testB308,3,0,188.572647
org.apache.bcel.generic.LCMPTestCase#accept,11,2,183.972763
org.apache.bcel.classfile.UtilityTestCase#testConvertString,8,0,183.258926
org.apache.bcel.generic.BasicTypeTest#testGetType,3,2,176.66243
org.apache.bcel.generic.FieldAnnotationsTestCase#testFieldAnnotationEntrys,5,0,184.838654
org.apache.bcel.generic.DREMTestCase#accept,12,2,179.870361
org.apache.bcel.ElementValueGenTestCase#testCreateIntegerElementValue,7,0,183.470764
org.apache.bcel.CounterVisitorTestCase#testConstantClassCount,3,0,199.476639
org.apache.bcel.CounterVisitorTestCase#testInnerClassesCount,3,0,189.676895
org.apache.bcel.generic.FREMTestCase#accept,12,2,188.273712
org.apache.bcel.generic.FADDTestCase#accept,12,2,177.497086
org.apache.bcel.AnonymousClassTestCase#testRegularClassIsNotAnonymous,5,0,188.793503
org.apache.bcel.generic.D2LTestCase#accept,12,2,182.5298
org.apache.bcel.generic.MethodGenTestCase#testInvalidNullMethodBody_EmptyStaticInit,3,0,186.276901
org.apache.bcel.classfile.ConstantPoolModuleToStringTestCase#testClass,3,0,193.904266
org.apache.bcel.verifier.VerifyJavaHomesTestCase#testJarEntryClassName,18,0,182.935242
org.apache.bcel.CounterVisitorTestCase#testUnknownCount,3,0,189.110794
org.apache.bcel.generic.LXORTestCase#accept,12,2,177.378555
org.apache.bcel.PerformanceTest#testPerformance,15,0,190.278473
org.apache.bcel.verifier.VerifierArrayAccessTestCase#testInvalidArrayAccess,16,0,187.317932
org.apache.bcel.generic.IORTestCase#accept,12,2,184.439667
org.apache.bcel.util.Class2HTMLTestCase#testConvertJavaUtil,10,5,184.368515
org.apache.bcel.generic.TypeTestCase#testBCEL243,5,2,182.677933
org.apache.bcel.verifier.VerifyJavaUtilTestCase#testLinkedHashMap,3,0,182.801422
org.apache.bcel.generic.LSUBTestCase#accept,12,2,185.279938
org.apache.bcel.OssFuzzTestCase#testIssue53543,3,0,185.362305
org.apache.bcel.classfile.LocalVariableTestCase#testReferenceToConstant,3,1,176.130981
org.apache.bcel.generic.InstructionHandleTestCase#testsetInstructionnotI,5,4,176.279526
org.apache.bcel.generic.FieldAnnotationsTestCase#testFieldAnnotationModification,37,0,189.45285
org.apache.bcel.CounterVisitorTestCase#testLineNumberTableCount,3,0,184.79718
org.apache.bcel.generic.GeneratingAnnotatedClassesTestCase#testTransformComplexClassToClassGen,15,0,181.887619
