TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.cli.ParserTestCase#testShortWithUnexpectedArgument,13,3,163.376526,11.792231,13.836199,54.458842000000004,3.9307436666666664,4.612066333333334,707.964946,51.09966766666666,59.95686233333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
org.apache.commons.cli.ParserTestCase#testOptionGroupLong,10,2,165.028702,11.797614,13.935675,82.514351,5.898807,6.9678375,825.14351,58.98806999999999,69.67837499999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.cli.PatternOptionBuilderTest#testNumberPattern,10,3,171.101898,11.860797,14.454951,57.033966,3.953599,4.8183169999999995,570.3396600000001,39.53599,48.18317,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.cli.UtilTest#testStripLeadingAndTrailingQuotes,7,5,166.29715,11.784151,14.087128,33.259429999999995,2.3568302,2.8174256,232.81600999999998,16.4978114,19.7219792,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.cli.ParserTestCase#testPropertyOptionFlags,43,21,155.867584,11.778101,13.26347,7.422265904761905,0.5608619523809524,0.6315938095238095,319.1574339047619,24.117063952380953,27.15853380952381,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1
org.apache.commons.cli.PosixParserTest#testAmbiguousLongWithoutEqualSingleDash,2,1,164.628754,11.806229,13.944228,164.628754,11.806229,13.944228,329.257508,23.612458,27.888456,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.apache.commons.cli.BasicParserTest#testLongWithEqualDoubleDash,2,1,167.321732,11.825292,14.174219,167.321732,11.825292,14.174219,334.643464,23.650584,28.348438,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.apache.commons.cli.OptionBuilderTest#testCreateIncompleteOption,9,4,168.643219,11.868543,14.256245,42.16080475,2.96713575,3.56406125,379.44724275,26.704221750000002,32.07655125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
org.apache.commons.cli.CommandLineTest#testGetOptionProperties,16,5,165.845154,11.849331,13.951285,33.1690308,2.3698661999999997,2.790257,530.7044928,37.917859199999995,44.644112,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.cli.DefaultParserTest#testLongOptionQuoteHandlingWithStrip,6,5,168.743988,11.85498,14.246257,33.7487976,2.370996,2.8492514,202.4927856,14.225976,17.0955084,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
