TC,LOC,SC,E
org.apache.commons.cli.ApplicationTest#testGroovy,18,0,168.444275
org.apache.commons.cli.OptionGroupTest#testToString,14,8,168.633224
org.apache.commons.cli.PosixParserTest#testShortWithEqual,2,1,168.852448
org.apache.commons.cli.OptionTest#testBuilderInsufficientParams2,3,0,165.663025
org.apache.commons.cli.bug.BugCLI133Test#testOrder,8,0,178.01033
org.apache.commons.cli.ParserTestCase#testPropertyOptionSingularValue,10,4,165.677185
org.apache.commons.cli.BasicParserTest#testStopBursting2,2,1,168.840393
org.apache.commons.cli.PosixParserTest#testLongWithEqualSingleDash,2,1,163.070862
org.apache.commons.cli.ParserTestCase#testSimpleLong,9,2,157.929642
org.apache.commons.cli.ValueTest#testShortWithArgWithOption,5,0,168.082031
org.apache.commons.cli.ParserTestCase#testAmbiguousPartialLongOption2,17,3,159.682648
org.apache.commons.cli.ParserTestCase#testAmbiguousPartialLongOption1,17,3,158.546326
org.apache.commons.cli.DisablePartialMatchingTest#testDisablePartialMatching,11,0,183.060623
org.apache.commons.cli.ParserTestCase#testAmbiguousPartialLongOption3,17,3,157.960678
org.apache.commons.cli.ParserTestCase#testMissingRequiredOption,17,3,162.444382
org.apache.commons.cli.bug.BugCLI148Test#testWorkaround2,6,0,165.806793
org.apache.commons.cli.bug.BugCLI265Test#shouldParseShortOptionWithValue,6,0,167.686066
org.apache.commons.cli.HelpFormatterTest#testHelpWithLongOptSeparator,13,7,167.644104
org.apache.commons.cli.GnuParserTest#testBursting,2,1,169.391663
org.apache.commons.cli.GnuParserTest#testUnambiguousPartialLongOption3,2,1,170.615112
org.apache.commons.cli.GnuParserTest#testStopBursting2,2,1,167.21698
org.apache.commons.cli.HelpFormatterTest#testRtrim,6,3,169.850723
org.apache.commons.cli.DefaultParserTest#testLongOptionWithEqualsQuoteHandlingWithStrip,6,5,165.855209
org.apache.commons.cli.ParserTestCase#testUnambiguousPartialLongOption2,8,1,159.047012
org.apache.commons.cli.ParserTestCase#testNegativeArgument,5,2,165.405518
org.apache.commons.cli.ParserTestCase#testLongWithUnexpectedArgument2,13,3,162.701614
org.apache.commons.cli.PatternOptionBuilderTest#testExistingFilePattern,8,1,167.866379
org.apache.commons.cli.bug.BugCLI162Test#testInfiniteLoop,7,0,178.255646
org.apache.commons.cli.ValueTest#testShortOptionalNArgValuesWithOption,12,0,171.353165
org.apache.commons.cli.ParserTestCase#testReuseOptionsTwice,11,2,156.686691
org.apache.commons.cli.BasicParserTest#testUnambiguousPartialLongOption4,2,1,161.734924
