TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.codec.net.QCodecTest#testInvalidEncoding,3,1,174.862045,11.498846,15.176496,174.862045,11.498846,15.176496,524.586135,34.496538,45.529488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.codec.language.DaitchMokotoffSoundexTest#testEncodeIgnoreApostrophes,3,1,169.14502,11.490242,14.74296,169.14502,11.490242,14.74296,507.43505999999996,34.470726000000006,44.228880000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.codec.binary.Base16OutputStreamTest#testWriteToNullCoverage,6,4,174.088608,11.516363,15.177011,43.522152,2.87909075,3.79425275,261.13291200000003,17.2745445,22.7655165,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
org.apache.commons.codec.binary.Base32OutputStreamTest#testBase32OutputStreamByteByByte,12,2,177.074783,11.45234,15.443377,88.5373915,5.72617,7.7216885,1062.4486980000001,68.71404,92.660262,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.codec.language.Caverphone2Test#testCaverphoneRevisitedExamples,4,1,176.510849,11.505578,15.366287,176.510849,11.505578,15.366287,706.043396,46.022312,61.465148,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.codec.binary.Base16Test#checkEncodeLengthBounds,4,3,177.563766,11.51965,15.37533,59.18792199999999,3.8398833333333333,5.12511,236.75168799999997,15.359533333333333,20.50044,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.codec.binary.StringUtilsTest#testConstructor,3,1,175.041901,11.517485,15.277245,175.041901,11.517485,15.277245,525.125703,34.552455,45.831735,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.codec.language.DaitchMokotoffSoundexTest#testAccentedCharacterFolding,6,5,176.118454,11.461829,15.371551,35.2236908,2.2923658,3.0743102,211.3421448,13.754194799999999,18.4458612,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.codec.binary.BaseNCodecTest#testContextToString,20,9,178.50032,11.552592,15.529753,19.833368888888888,1.2836213333333335,1.7255281111111112,396.66737777777774,25.672426666666667,34.51056222222222,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.codec.binary.HexTest#testEncodeClassCastException,3,3,171.660477,11.45444,15.031793,57.220158999999995,3.818146666666667,5.0105976666666665,171.660477,11.45444,15.031793,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.codec.language.bm.BeiderMorseEncoderTest#testEncodeGna,4,2,186.067734,11.510165,16.086905,93.033867,5.7550825,8.0434525,372.135468,23.02033,32.17381,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.codec.net.BCodecTest#testUTF8RoundTrip,9,8,172.155457,11.499262,14.959761,21.519432125,1.43740775,1.869970125,193.67488912500002,12.93666975,16.829731125000002,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
org.apache.commons.codec.net.URLCodecTest#testEncodeDecodeNull,6,4,167.460434,11.483602,14.55551,41.8651085,2.8709005,3.6388775,251.190651,17.225403,21.833265,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
org.apache.commons.codec.cli.DigestTest#testNullArguments,3,1,175.174637,11.488894,15.278957,175.174637,11.488894,15.278957,525.523911,34.466682000000006,45.836871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.codec.binary.Base16OutputStreamTest#testWriteOutOfBounds,10,4,167.49794,11.505818,14.574868,41.874485,2.8764545,3.643717,418.74485,28.764545,36.43717,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
org.apache.commons.codec.digest.MurmurHash3Test#testIncrementalHash32x86,18,11,172.530899,11.452914,15.069152,15.684627181818183,1.041174,1.369922909090909,282.32328927272727,18.741131999999997,24.65861236363636,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0
