TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.collections4.multiset.AbstractMultiSetTest#testMultiSetIteratorRemoveProtectsInvariants,22,30,212.670685,12.385737,17.170613,7.089022833333333,0.4128579,0.5723537666666666,155.95850233333334,9.082873800000002,12.591782866666668,10,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,12
org.apache.commons.collections4.multimap.UnmodifiableMultiValuedMapTest#testRemoveException,5,1,221.371277,12.45156,17.778597,221.371277,12.45156,17.778597,1106.8563849999998,62.2578,88.892985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.collections4.MapUtilsTest#testGetString,16,7,215.522552,12.428691,17.372415,30.788936,1.7755272857142859,2.4817735714285716,492.622976,28.408436571428574,39.708377142857145,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.collections4.ListUtilsTest#testSubtract,17,6,214.847885,12.419928,17.298642,35.80798083333333,2.069988,2.8831070000000003,608.7356741666666,35.189796,49.012819,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.collections4.multiset.AbstractMultiSetTest#testMultiSetToArray,21,16,200.5905,12.334301,16.24744,12.53690625,0.7708938125,1.015465,263.27503125,16.1887700625,21.324765000000003,3,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,4
org.apache.commons.collections4.CollectionUtilsTest#testCollateIgnoreDuplicates,10,3,225.225723,12.497227,18.059341,75.07524099999999,4.165742333333333,6.019780333333333,750.7524099999999,41.657423333333334,60.19780333333333,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.collections4.PredicateUtilsTest#testAllPredicateEx2,3,1,219.869553,12.37922,17.755403,219.869553,12.37922,17.755403,659.608659,37.137660000000004,53.266209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.collections4.FluentIterableTest#unique,7,10,210.06752,12.366642,16.986686,21.006752,1.2366642,1.6986686,147.04726399999998,8.656649400000001,11.890680199999998,3,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3
org.apache.commons.collections4.map.ListOrderedMapTest#testValueList_setByIndex,11,17,227.258514,12.438301,18.246187,13.368147882352941,0.7316647647058823,1.0733051176470587,147.04962670588236,8.048312411764705,11.806356294117647,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12
org.apache.commons.collections4.IterableUtilsTest#forEachButLast,19,3,203.862961,12.330761,16.538269,67.95432033333334,4.110253666666667,5.512756333333333,1291.1320863333335,78.09481966666668,104.74237033333334,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
