TC,LOC,SC,E
org.apache.commons.collections4.queue.CircularFifoQueueTest#testConstructorException1,3,0,216.831848
org.apache.commons.collections4.trie.PatriciaTrieTest#testPrefixMapSizes,17,17,223.478455
org.apache.commons.collections4.MultiMapUtilsTest#testEmptyUnmodifiableMultiValuedMap,5,1,221.705246
org.apache.commons.collections4.map.UnmodifiableMapTest#testDecorateFactory,5,1,216.187485
org.apache.commons.collections4.map.Flat3MapTest#testContainsValue2,7,4,226.615921
org.apache.commons.collections4.QueueUtilsTest#testEmptyQueue,6,0,206.335449
org.apache.commons.collections4.iterators.LoopingListIteratorTest#testLooping2,17,22,204.773804
org.apache.commons.collections4.list.CursorableLinkedListTest#testCursorNextIndexFirst,13,13,229.096985
org.apache.commons.collections4.queue.CircularFifoQueueTest#testDefaultSizeAndGetError1,11,9,216.613907
org.apache.commons.collections4.iterators.AbstractListIteratorTest#testAddThenSet,8,0,210.236526
org.apache.commons.collections4.MultiSetUtilsTest#testPredicatedMultiSet,9,2,215.051437
org.apache.commons.collections4.iterators.LoopingListIteratorTest#testReset,21,20,215.219818
org.apache.commons.collections4.PredicateUtilsTest#testNeitherPredicate,6,8,223.23465
org.apache.commons.collections4.iterators.CollatingIteratorTest#testRemoveFromSingle,14,8,227.142822
org.apache.commons.collections4.functors.AbstractAnyAllOnePredicateTest#singleElementArrayToGetInstance,5,0,212.506989
org.apache.commons.collections4.bloomfilter.ShapeTest#testBadNumberOfItems,5,4,218.547699
org.apache.commons.collections4.ClosureUtilsTest#testWhileClosure,9,0,245.697021
org.apache.commons.collections4.iterators.LazyIteratorChainTest#testFirstIteratorIsEmptyBug,24,7,206.889893
org.apache.commons.collections4.IteratorUtilsTest#testObjectGraphIterator,3,0,216.182877
org.apache.commons.collections4.properties.SortedPropertiesTest#testEntrySet,12,6,205.109467
org.apache.commons.collections4.bloomfilter.AbstractBloomFilterTest#testEstimateN,8,0,215.397186
org.apache.commons.collections4.sequence.SequencesComparatorTest#testExecution,8,4,208.268524
org.apache.commons.collections4.CollectionUtilsTest#collateException1,3,1,220.017258
org.apache.commons.collections4.collection.PredicatedCollectionBuilderTest#createPredicatedCollectionWithPredicate,15,0,219.993546
org.apache.commons.collections4.list.AbstractListTest#testListListIteratorNextRemovePrevious,23,0,208.997559
org.apache.commons.collections4.SplitMapUtilsTest#testAlreadyWritableMap,4,2,220.723068
org.apache.commons.collections4.SetUtilsTest#union,9,8,210.17627
org.apache.commons.collections4.bloomfilter.AbstractIndexProducerTest#testForEachIndexEarlyExit,16,0,192.979446
org.apache.commons.collections4.comparators.AbstractComparatorTest#testReverseListSort,8,0,212.33197
org.apache.commons.collections4.multimap.AbstractMultiValuedMapTest#testSize,3,8,217.00029
org.apache.commons.collections4.IteratorUtilsTest#testAsMultipleIterable,20,11,215.842651
org.apache.commons.collections4.bloomfilter.ShapeTest#testFromKM,4,1,215.375687
org.apache.commons.collections4.multimap.AbstractMultiValuedMapTest#testContainsValue_Key,11,18,209.712708
org.apache.commons.collections4.MapUtilsTest#testSafeAddToMap,7,2,207.090302
org.apache.commons.collections4.properties.AbstractPropertiesFactoryTest#testLoadUrl,3,1,208.630005
org.apache.commons.collections4.PredicateUtilsTest#testInvokerPredicate2Ex2,3,2,217.724289
org.apache.commons.collections4.keyvalue.MultiKeyTest#testHashCode,10,0,211.360443
org.apache.commons.collections4.MapUtilsTest#testGetShortValue,16,19,211.105621
org.apache.commons.collections4.FactoryUtilsTest#testNullFactory,6,2,222.258423
org.apache.commons.collections4.CollectionUtilsTest#getFromMapIndexOutOfRange,6,1,213.391663
org.apache.commons.collections4.list.CursorableLinkedListTest#testInternalState_CursorNextNextPreviousAddByIterator,16,14,211.821976
org.apache.commons.collections4.list.Collections701Test#testArrayList,6,0,213.692673
org.apache.commons.collections4.CollectionUtilsTest#getPositiveOutOfBounds,3,3,225.532959
org.apache.commons.collections4.properties.EmptyPropertiesTest#testContainsValue,3,0,209.965454
org.apache.commons.collections4.bloomfilter.BitMapTest#testGetLongIndex,7,10,210.875793
org.apache.commons.collections4.bloomfilter.SetOperationsTest#testXorCardinality,16,5,210.846176
org.apache.commons.collections4.iterators.ListIteratorWrapperTest#testReset,14,3,220.474319
org.apache.commons.collections4.queue.AbstractQueueTest#testQueuePoll,18,0,206.800491
org.apache.commons.collections4.collection.CompositeCollectionTest#testAddAllToCollection,9,7,213.981659
org.apache.commons.collections4.map.ReferenceMapTest#testCustomPurge,29,5,219.924988
org.apache.commons.collections4.keyvalue.MultiKeyTest#testGetKeysArrayConstructorCloned,10,0,221.620651
org.apache.commons.collections4.map.AbstractMapTest#testMapRemove,31,0,210.460327
org.apache.commons.collections4.list.CursorableLinkedListTest#testClear,28,30,218.36264
org.apache.commons.collections4.list.SetUniqueListTest#testRetainAll,18,0,217.73056
org.apache.commons.collections4.list.CursorableLinkedListTest#testEqualsAndHashCode,54,60,237.076233
org.apache.commons.collections4.multimap.AbstractMultiValuedMapTest#testPutAll_Map2,23,52,213.153305
