TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.configuration2.tree.TestInMemoryNodeModel#testClearTreeNonExistingKey,9,8,228.028793,11.632962,19.601954,28.503599125,1.45412025,2.45024425,256.532392125,13.08708225,22.05219825,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
org.apache.commons.configuration2.reloading.TestCombinedReloadingController#testGetSubControllersModify,4,1,234.249939,11.728259,20.017924,234.249939,11.728259,20.017924,936.999756,46.913036,80.071696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.configuration2.tree.xpath.TestXPathExpressionEngine#testPrepareAddInvalidParent,5,1,237.273849,11.696718,20.350763,237.273849,11.696718,20.350763,1186.369245,58.48359,101.753815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.configuration2.tree.TestImmutableNode#testNodeWithChildrenManipulateLater,7,5,213.849731,11.709082,18.193246,42.7699462,2.3418164,3.6386491999999997,299.3896234,16.3927148,25.470544399999998,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
org.apache.commons.configuration2.tree.TestInMemoryNodeModel#testSetPropertyChangedValues,16,6,229.337677,11.650528,19.679768,38.22294616666667,1.9417546666666665,3.279961333333333,611.5671386666667,31.068074666666664,52.47938133333333,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
org.apache.commons.configuration2.TestHierarchicalConfiguration#testConfigurationsAtNoUpdate,3,1,202.735458,11.624685,17.475664,202.735458,11.624685,17.475664,608.206374,34.874055,52.426992,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.configuration2.tree.TestInMemoryNodeModel#testGetNodeHandler,4,4,205.851425,11.617058,17.707013,51.46285625,2.9042645,4.42675325,205.851425,11.617058,17.707013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.configuration2.TestXMLDocumentHelper#testCreateDocumentBuilderFromFactoryException,7,1,231.602661,11.699413,19.830715,231.602661,11.699413,19.830715,1621.2186270000002,81.895891,138.815005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.configuration2.tree.TestImmutableNode#testSetValue,7,5,207.559753,11.67645,17.872341,41.5119506,2.33529,3.5744681999999997,290.5836542,16.34703,25.0212774,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.configuration2.plist.TestPropertyListConfiguration#testLoadWithError,7,2,230.997879,11.673729,19.805369,115.4989395,5.8368645,9.9026845,808.4925765,40.8580515,69.3187915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.configuration2.convert.TestDefaultConversionHandler#testToPrimitive,5,2,214.585846,11.669991,18.395762,107.292923,5.8349955,9.197881,536.464615,29.174977499999997,45.989405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.configuration2.builder.TestAutoSaveListener#testConfigurationChangedAutoSave,5,1,240.368546,11.642213,20.705693,240.368546,11.642213,20.705693,1201.84273,58.211065,103.528465,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
