TC,LOC,SC,E
org.apache.commons.configuration2.TestINIConfiguration#testGetSectionNonExistingManipulate,11,0,217.376755
org.apache.commons.configuration2.io.TestFileHandler#testLocationChangedFileName,7,0,226.642776
org.apache.commons.configuration2.tree.TestNodeSelector#testToString,7,5,224.526459
org.apache.commons.configuration2.TestXMLConfiguration#testAddNodesCopy,7,0,233.489349
org.apache.commons.configuration2.interpol.TestConfigurationInterpolator#testAddDefaultLookups,8,4,230.042267
org.apache.commons.configuration2.interpol.TestConfigurationInterpolator#testInterpolateCollection,4,2,210.237793
org.apache.commons.configuration2.interpol.TestConfigurationInterpolator#testResolveWithUnknownPrefix,5,5,232.576096
org.apache.commons.configuration2.TestBaseConfiguration#testInterpolationEnvironment,3,1,212.874008
org.apache.commons.configuration2.io.TestFileHandler#testLoadFileLocatorAwareReader,6,0,225.999023
org.apache.commons.configuration2.TestAbstractConfigurationSynchronization#testGetKeysPrefixSynchronized,4,0,234.677155
org.apache.commons.configuration2.tree.TestNodeNameMatchers#testEqualsIgnoreCaseNoMatch,4,2,213.901321
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl#testSetBasePath,6,6,214.765488
org.apache.commons.configuration2.builder.combined.TestMultiFileConfigurationBuilder#testCaching,12,8,232.653671
org.apache.commons.configuration2.io.TestFileLocator#testFileLocatorEqualsNull,4,4,243.207657
org.apache.commons.configuration2.beanutils.TestBeanHelper#testCreateWrapDynaBean,7,0,232.698227
org.apache.commons.configuration2.TestDataConfiguration#testGetInternetAddress,8,3,214.083008
org.apache.commons.configuration2.TestXMLConfiguration#testEmptyAttribute,11,0,240.338776
org.apache.commons.configuration2.tree.TestTrackedNodeModel#testSetRootNode,7,1,236.977203
org.apache.commons.configuration2.builder.TestBasicBuilderParameters#testFetchInterpolatorSpecification,19,11,221.777084
org.apache.commons.configuration2.TestXMLConfiguration#testLoadWithEncoding,5,0,230.070908
org.apache.commons.configuration2.TestConfigurationConverter#testConfigurationToPropertiesListDelimiterHandler,6,2,211.584656
org.apache.commons.configuration2.builder.combined.TestCombinedConfigurationBuilder#testBuilderNamesBeforeConfigurationAccess,5,0,234.392776
org.apache.commons.configuration2.TestXMLConfiguration#testValidatingInvalidFile,5,0,222.012924
org.apache.commons.configuration2.TestDataConfiguration#testGetURIList,17,11,209.248566
org.apache.commons.configuration2.TestThreesomeConfiguration#testList1,4,0,223.329361
org.apache.commons.configuration2.builder.combined.TestCombinedBuilderParametersImpl#testGetParametersInherited,6,5,206.242737
org.apache.commons.configuration2.builder.TestBasicBuilderParameters#testSetPrefixLookups,10,7,228.545288
org.apache.commons.configuration2.tree.TestInMemoryNodeModel#testClearPropertyNonExisting,9,7,224.444122
org.apache.commons.configuration2.event.TestEventListenerList#testReceiveEventDifferentType,9,0,207.709595
org.apache.commons.configuration2.tree.AbstractCombinerTest#testInit,4,0,201.261963
org.apache.commons.configuration2.interpol.TestConfigurationInterpolator#testResolveParentVariableFound,6,5,240.495697
org.apache.commons.configuration2.tree.TestInMemoryNodeModel#testConcurrentUpdate,41,10,233.051666
org.apache.commons.configuration2.reloading.TestFileHandlerReloadingDetector#testDefaultRefreshDelay,4,0,238.204529
org.apache.commons.configuration2.tree.TestInMemoryNodeModelTrackedNodes#testIsDetachedAfterSetRoot,7,0,230.024643
org.apache.commons.configuration2.builder.TestDefaultParametersManager#testRegisterDefaultsHandlerNoClass,4,0,234.727432
org.apache.commons.configuration2.tree.xpath.TestXPathExpressionEngine#testPrepareAddInvalidPathWithSlash,3,1,215.559708
org.apache.commons.configuration2.TestDataConfiguration#testGetShortList,18,13,214.046738
