TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.csv.CSVFormatTest#testEscapeSameAsCommentStartThrowsException_Deprecated,3,3,184.689011,11.78606,15.568332,61.56300366666667,3.928686666666667,5.189444,184.689011,11.78606,15.568332,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.csv.CSVFormatTest#testEqualsQuoteChar_Deprecated,5,4,165.438339,11.379482,14.537348,41.35958475,2.8448705,3.634337,206.79792375,14.224352499999998,18.171685,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.csv.CSVFormatTest#testPrintRecord,6,5,167.344986,11.408134,14.657744,33.468997200000004,2.2816268,2.9315488,200.8139832,13.6897608,17.5892928,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
org.apache.commons.csv.CSVPrinterTest#testEscapeNull4,7,6,166.254257,11.418799,14.555378,27.70904283333333,1.9031331666666667,2.425896333333333,193.96329983333334,13.321932166666667,16.981274333333335,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
org.apache.commons.csv.CSVPrinterTest#testDelimeterStringQuoted,8,6,166.793564,11.393522,14.657722,27.798927333333335,1.8989203333333335,2.4429536666666665,222.39141866666668,15.191362666666668,19.54362933333333,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
org.apache.commons.csv.CSVParserTest#testGetTrailerComment_HeaderComment2,7,8,167.858566,11.432803,14.745596,20.98232075,1.429100375,1.8431995,146.87624525,10.003702625,12.902396500000002,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
org.apache.commons.csv.CSVPrinterTest#testJira135_part1,13,7,162.639755,11.355278,14.347492,23.234250714285714,1.6221825714285714,2.0496417142857144,302.04525928571434,21.08837342857143,26.64534228571429,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
org.apache.commons.csv.CSVFormatTest#testQuoteCharSameAsDelimiterThrowsException_Deprecated,3,3,162.950058,11.351671,14.354519,54.316686000000004,3.7838903333333334,4.784839666666667,162.950058,11.351671,14.354519,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.csv.CSVFormatTest#testEqualsOne,83,137,170.084335,11.419573,14.85329,1.241491496350365,0.08335454744525547,0.10841817518248174,103.04379419708029,6.918427437956204,8.998708540145985,79,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,0,0,0,18
org.apache.commons.csv.CSVPrinterTest#testJdbcPrinterWithResultSetHeader,16,8,182.89238,11.383547,16.066599,22.8615475,1.422943375,2.008324875,365.78476,22.767094,32.133198,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2
org.apache.commons.csv.CSVFormatTest#testWithDelimiter,4,4,166.800583,11.459437,14.555739,41.70014575,2.86485925,3.63893475,166.800583,11.459437,14.555739,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.csv.CSVFormatTest#testPrintRecordEmpty,6,5,170.762024,11.491632,14.873825,34.1524048,2.2983263999999997,2.974765,204.9144288,13.789958399999998,17.848589999999998,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
org.apache.commons.csv.CSVFormatTest#testWithRecordSeparatorLF,4,5,158.929733,11.389298,13.910908,31.7859466,2.2778596,2.7821816,127.1437864,9.1114384,11.1287264,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
org.apache.commons.csv.CSVPrinterTest#testDelimiterPlain,8,6,161.30658,11.435206,14.073276,26.88443,1.9058676666666667,2.345546,215.07544,15.246941333333334,18.764368,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
org.apache.commons.csv.CSVRecordTest#testIsSetString,5,4,158.146729,11.421007,13.854838,39.53668225,2.85525175,3.4637095,197.68341124999998,14.276258749999998,17.3185475,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.csv.CSVParserTest#testGetRecordPositionWithLF,3,1,178.323425,11.767847,15.153322,178.323425,11.767847,15.153322,534.970275,35.303541,45.459966,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.csv.CSVParserTest#testGetHeaderComment_NoComment2,7,8,168.368423,11.474893,14.67964,21.046052875,1.434361625,1.834955,147.32237012500002,10.040531375,12.844685,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
org.apache.commons.csv.CSVParserTest#testMappedButNotSetAsOutlook2007ContactExport,29,31,164.420456,11.377486,14.542612,5.303885677419355,0.3670156774193548,0.46911651612903227,153.8126846451613,10.64345464516129,13.604378967741937,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,3
org.apache.commons.csv.CSVParserTest#testGetRecordNumberWithCRLF,3,1,168.459427,11.396757,14.772217,168.459427,11.396757,14.772217,505.378281,34.190271,44.316651,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.csv.CSVRecordTest#testGetStringNoHeader,3,1,167.260086,11.407149,14.657562,167.260086,11.407149,14.657562,501.780258,34.221447000000005,43.972686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.csv.CSVPrinterTest#testSingleLineComment,7,6,164.642868,11.418605,14.457726,27.440478,1.9031008333333332,2.409621,192.083346,13.321705833333333,16.867347,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
org.apache.commons.csv.CSVFormatTest#testWithHeaderEnumNull,5,2,160.866013,11.444507,14.084466,80.4330065,5.7222535,7.042233,402.1650325,28.611267499999997,35.211165,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.csv.CSVParserTest#testNoHeaderMap,5,5,165.982285,11.428431,14.536611,33.196456999999995,2.2856862,2.9073222000000003,165.982285,11.428431,14.536611,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
org.apache.commons.csv.CSVFormatTest#testWithFirstRecordAsHeader,5,6,165.22438,11.421713,14.465814,27.537396666666666,1.9036188333333335,2.410969,137.68698333333333,9.518094166666668,12.054845,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.csv.CSVPrinterTest#testEscapeNull3,7,6,164.257919,11.390512,14.420592,27.37631983333333,1.8984186666666665,2.403432,191.63423883333334,13.288930666666667,16.824024,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
