TC,LOC,SC,E
org.apache.commons.csv.CSVPrinterTest#testMongoDbTsvBasic,7,6,165.880478
org.apache.commons.csv.LexerTest#testSurroundingTabsAreDeleted,12,10,164.576721
org.apache.commons.csv.CSVFormatTest#testEqualsIgnoreSurroundingSpaces_Deprecated,5,8,168.057678
org.apache.commons.csv.CSVRecordTest#testPutInMap,7,1,163.312073
org.apache.commons.csv.CSVPrinterTest#testPrintCSVRecord,16,7,165.577255
org.apache.commons.csv.CSVParserTest#testCSV57,7,7,168.037933
org.apache.commons.csv.CSVPrinterTest#testDelimeterQuoted,8,6,158.956879
org.apache.commons.csv.CSVFormatTest#testEqualsNullString_Deprecated,5,11,163.411743
org.apache.commons.csv.CSVParserTest#testGetHeaderMap,18,19,164.485901
org.apache.commons.csv.CSVFormatPredefinedTest#testDefault,3,0,159.782501
org.apache.commons.csv.CSVPrinterTest#testEscapeBackslash1,7,6,167.524704
org.apache.commons.csv.CSVParserTest#testGetTrailerComment_HeaderTrailerComment3,7,8,164.446014
org.apache.commons.csv.CSVParserTest#testExcelFormat2,12,8,160.752258
org.apache.commons.csv.CSVFormatTest#testWithNullString,4,4,165.158127
org.apache.commons.csv.CSVParserTest#testGetHeaderNamesReadOnly,7,5,167.333557
org.apache.commons.csv.CSVRecordTest#testGetNullEnum,3,1,161.463318
org.apache.commons.csv.CSVFormatTest#testQuoteCharSameAsDelimiterThrowsException,3,5,166.848282
org.apache.commons.csv.CSVPrinterTest#testSingleQuoteQuoted,8,6,168.206802
org.apache.commons.csv.CSVPrinterTest#testRandomPostgreSqlCsv,3,1,166.863998
org.apache.commons.csv.issues.JiraCsv290Test#testPostgresqlText,3,0,181.230499
org.apache.commons.csv.CSVFormatTest#testWithHeaderEnum,4,4,161.75708
org.apache.commons.csv.CSVParserTest#testNewCSVParserNullReaderFormat,3,1,168.584045
org.apache.commons.csv.CSVFormatTest#testWithHeaderEnumNull,5,2,160.866013
org.apache.commons.csv.CSVPrinterTest#testPrintRecordStream,16,7,164.395767
org.apache.commons.csv.CSVFormatTest#testSerialization,17,17,165.768112
org.apache.commons.csv.CSVPrinterTest#testCSV259,7,6,165.454697
org.apache.commons.csv.CSVPrinterTest#testPrinter5,7,6,163.775497
org.apache.commons.csv.CSVPrinterTest#testEscapeBackslash3,7,6,169.588486
org.apache.commons.csv.CSVFormatPredefinedTest#testPostgreSqlText,3,0,165.7547
org.apache.commons.csv.CSVFormatTest#testDuplicateHeaderElementsTrueContainsEmpty1,3,5,168.527878
org.apache.commons.csv.LexerTest#testCR,6,4,161.913651
org.apache.commons.csv.CSVRecordTest#testGetStringNoHeader,3,1,167.260086
org.apache.commons.csv.CSVFormatTest#testEqualsIgnoreEmptyLines,5,11,162.091095
org.apache.commons.csv.CSVRecordTest#testIsConsistent,7,7,158.164673
org.apache.commons.csv.CSVParserTest#testParseNullUrlCharsetFormat,3,1,164.425369
org.apache.commons.csv.CSVFormatTest#testEqualsEscape_Deprecated,5,7,164.739899
org.apache.commons.csv.CSVRecordTest#testIsSetString,5,4,158.146729
org.apache.commons.csv.CSVFormatTest#testEqualsRecordSeparator,5,12,161.277908
org.apache.commons.csv.CSVParserTest#testRoundtrip,10,5,161.603027
org.apache.commons.csv.LexerTest#testEscapedControlCharacter2,5,3,158.691528
org.apache.commons.csv.CSVParserTest#testGetTrailerComment_HeaderComment3,7,8,168.829544
org.apache.commons.csv.CSVParserTest#testCarriageReturnLineFeedEndings,7,6,166.54303
org.apache.commons.csv.CSVFormatPredefinedTest#testPostgreSqlCsv,3,0,172.959717
org.apache.commons.csv.CSVFormatTest#testGetAllowDuplicateHeaderNames,7,9,169.116531
org.apache.commons.csv.ExtendedBufferedReaderTest#testReadLookahead2,17,15,157.294174
org.apache.commons.csv.CSVPrinterTest#testExcelPrinter2,7,6,169.982391
org.apache.commons.csv.CSVFormatTest#testWithHeaderComments,105,160,158.251724
org.apache.commons.csv.CSVPrinterTest#testPrint,7,6,166.095108
org.apache.commons.csv.CSVPrinterTest#testEscapeNull3,7,6,164.257919
org.apache.commons.csv.CSVParserTest#testParseNullFileFormat,3,1,168.419388
org.apache.commons.csv.CSVFormatTest#testWithRecordSeparatorLF,4,5,158.929733
org.apache.commons.csv.CSVPrinterTest#testMongoDbTsvTabInValue,7,6,168.728195
org.apache.commons.csv.issues.JiraCsv253Test#testHandleAbsentValues,11,0,162.830948
org.apache.commons.csv.CSVPrinterTest#testEolEscaped,8,6,166.561188
org.apache.commons.csv.IOUtilsTest#testRethrow,3,0,154.163605
org.apache.commons.csv.CSVFormatTest#testEqualsNullString,5,13,166.386063
org.apache.commons.csv.LexerTest#testCommentsAndEmptyLines,30,28,166.138535
org.apache.commons.csv.CSVPrinterTest#testPrintCSVParser,14,6,168.001282
org.apache.commons.csv.CSVFormatTest#testEqualsSkipHeaderRecord_Deprecated,5,12,162.734131
org.apache.commons.csv.issues.JiraCsv271Test#testJiraCsv271_withArray,9,0,163.66684
org.apache.commons.csv.CSVPrinterTest#testCloseBackwardCompatibility,9,6,188.196213
org.apache.commons.csv.CSVFormatTest#testEqualsNoQuotes_Deprecated,5,4,168.782532
org.apache.commons.csv.CSVFormatTest#testEqualsOne,83,137,170.084335
org.apache.commons.csv.CSVParserTest#testHeadersWithNullColumnName,10,9,167.423447
org.apache.commons.csv.CSVFormatTest#testDelimiterSameAsEscapeThrowsException1,3,5,165.027115
org.apache.commons.csv.CSVRecordTest#testToMapWithShortRecord,6,5,164.24469
org.apache.commons.csv.CSVPrinterTest#testMongoDbCsvBasic,7,6,166.943466
org.apache.commons.csv.CSVPrinterTest#testEscapeNull5,7,6,164.044937
org.apache.commons.csv.ExtendedBufferedReaderTest#testEmptyInput,9,12,162.527252
org.apache.commons.csv.LexerTest#testBackslashWithEscaping,14,11,161.769226
org.apache.commons.csv.CSVRecordTest#testStream,8,1,168.594208
org.apache.commons.csv.CSVParserTest#testEmptyString,5,3,164.322067
org.apache.commons.csv.CSVPrinterTest#testPostgreSqlCsvNullOutput,92,42,169.280731
org.apache.commons.csv.CSVRecordTest#testGetString,5,4,160.103302
org.apache.commons.csv.CSVFormatPredefinedTest#testOracle,3,0,161.103943
org.apache.commons.csv.CSVParserTest#testBOMInputStream_ParserWithReader,5,3,169.507416
org.apache.commons.csv.CSVPrinterTest#testEscapeNull4,7,6,166.254257
org.apache.commons.csv.CSVRecordTest#testIsSetInt,8,13,165.356705
org.apache.commons.csv.CSVRecordTest#testIsInconsistent,10,5,164.717499
org.apache.commons.csv.CSVFormatTest#testEqualsHash,58,25,166.596497
org.apache.commons.csv.CSVPrinterTest#testPrintReaderWithoutQuoteToWriter,9,6,160.051025
org.apache.commons.csv.CSVParserTest#testRepeatedHeadersAreReturnedInCSVRecordHeaderNames,9,6,165.635605
org.apache.commons.csv.LexerTest#testBackslashWithoutEscaping,14,12,165.540894
org.apache.commons.csv.issues.JiraCsv149Test#testJiraCsv149EndWithoutEOL,3,0,157.28981
org.apache.commons.csv.CSVPrinterTest#testDisabledComment,7,6,166.158951
org.apache.commons.csv.CSVPrinterTest#testPrintCustomNullValues,7,6,165.553787
org.apache.commons.csv.CSVPrinterTest#testMongoDbCsvCommaInValue,7,6,168.45369
org.apache.commons.csv.issues.JiraCsv288Test#testParseWithTriplePipeDelimiter,10,0,162.81424
org.apache.commons.csv.ExtendedBufferedReaderTest#testReadingInDifferentBuffer,8,6,162.785095
org.apache.commons.csv.CSVFormatTest#testNewFormat,39,75,171.057465
org.apache.commons.csv.TokenMatchersTest#testIsReady,5,0,167.037537
org.apache.commons.csv.CSVRecordTest#testSerialization,33,29,155.743988
org.apache.commons.csv.CSVPrinterTest#testNotFlushable,8,7,165.598389
org.apache.commons.csv.CSVPrinterTest#testPrintToPathWithDefaultCharset,7,5,164.95752
org.apache.commons.csv.CSVFormatTest#testPrintWithQuoteModeIsNONE,7,9,168.04303
org.apache.commons.csv.CSVFormatTest#testPrintWithEscapesEndWithoutCRLF,7,9,161.791962
org.apache.commons.csv.CSVRecordTest#testGetUnmappedPositiveInt,3,1,159.088867
org.apache.commons.csv.CSVFormatTest#testPrintRecordEmpty,6,5,170.762024
org.apache.commons.csv.CSVPrinterTest#testDelimeterQuoteNone,9,6,168.691696
org.apache.commons.csv.CSVParserTest#testBackslashEscaping2,10,5,167.452148
org.apache.commons.csv.CSVFormatTest#testNullRecordSeparatorCsv106,6,7,165.397369
org.apache.commons.csv.CSVPrinterTest#testPostgreSqlNullStringDefaultText,3,1,164.947418
org.apache.commons.csv.issues.JiraCsv198Test#test,7,0,177.554001
org.apache.commons.csv.CSVPrinterTest#testDontQuoteEuroFirstChar,7,6,167.684631
org.apache.commons.csv.CSVFormatTest#testPrintRecord,6,5,167.344986
org.apache.commons.csv.CSVPrinterTest#testJira135_part2,13,7,163.626007
org.apache.commons.csv.CSVParserTest#testCSV235,12,14,163.986145
org.apache.commons.csv.issues.JiraCsv148Test#testWithIgnoreSurroundingSpacesEmpty,4,0,157.509705
org.apache.commons.csv.issues.JiraCsv148Test#testWithTrimEmpty,4,0,163.697464
org.apache.commons.csv.CSVParserTest#testParseWithQuoteWithEscape,9,5,169.03418
org.apache.commons.csv.LexerTest#testEscapedTab,5,3,161.144165
org.apache.commons.csv.LexerTest#testReadEscapeBackspace,6,3,165.21347
org.apache.commons.csv.CSVParserTest#testIgnoreEmptyLines,7,6,164.939972
org.apache.commons.csv.CSVRecordTest#testCSVRecordNULLValues,6,5,162.491119
org.apache.commons.csv.CSVParserTest#testSkipHeaderOverrideDuplicateHeaders,10,7,166.583969
org.apache.commons.csv.CSVPrinterTest#testPrintRecordsWithObjectArray,11,8,162.577698
org.apache.commons.csv.CSVParserTest#testGetRecords,10,8,166.593674
org.apache.commons.csv.CSVParserTest#testStream,10,5,165.326874
org.apache.commons.csv.CSVParserTest#testHeader,14,14,161.338165
org.apache.commons.csv.CSVPrinterTest#testPrintOnePositiveInteger,7,6,166.666214
org.apache.commons.csv.CSVFormatTest#testEqualsIgnoreSurroundingSpaces,5,10,168.468231
org.apache.commons.csv.CSVFormatTest#testWithQuoteLFThrowsException,3,1,165.605835
org.apache.commons.csv.CSVParserTest#testTrailingDelimiter,11,9,163.113159
org.apache.commons.csv.issues.JiraCsv288Test#testParseWithABADelimiter,10,0,159.14772
org.apache.commons.csv.CSVParserTest#testHeadersMissingOneColumnException,4,1,160.922073
org.apache.commons.csv.CSVFormatTest#testEscapeSameAsCommentStartThrowsExceptionForWrapperType_Deprecated,3,4,165.107422
org.apache.commons.csv.issues.JiraCsv154Test#testJiraCsv154_withCommentMarker,11,0,161.060013
org.apache.commons.csv.LexerTest#testReadEscapeFF,6,3,163.038651
org.apache.commons.csv.CSVParserTest#testGetTrailerComment_HeaderTrailerComment2,7,8,164.555603
org.apache.commons.csv.CSVPrinterTest#testRandomRfc4180,3,1,196.227097
org.apache.commons.csv.issues.JiraCsv203Test#testQuoteModeNonNumeric,8,0,163.716629
org.apache.commons.csv.CSVPrinterTest#testEolPlain,8,6,160.623245
org.apache.commons.csv.CSVPrinterTest#testSkipHeaderRecordFalse,8,6,167.41066
org.apache.commons.csv.CSVFormatTest#testQuotePolicyNoneWithoutEscapeThrowsException,3,5,164.454422
org.apache.commons.csv.CSVParserTest#testBackslashEscapingOld,12,8,163.442627
org.apache.commons.csv.CSVParserTest#testGetHeaderComment_HeaderComment2,7,8,160.369644
org.apache.commons.csv.CSVPrinterTest#testHeaderNotSet,8,6,167.934525
org.apache.commons.csv.CSVRecordTest#testToListAdd,8,8,164.895859
org.apache.commons.csv.CSVRecordTest#testToString,6,9,159.428146
org.apache.commons.csv.CSVParserTest#testHeaderMissing,13,12,162.866196
org.apache.commons.csv.issues.JiraCsv203Test#testWithoutQuoteMode,8,0,161.50206
org.apache.commons.csv.CSVParserTest#testStartWithEmptyLinesThenHeaders,14,9,162.390457
org.apache.commons.csv.CSVParserTest#testEndOfFileBehaviorCSV,14,9,165.094238
org.apache.commons.csv.CSVPrinterTest#testExcelPrintAllStreamOfArrays,7,6,160.781311
org.apache.commons.csv.CSVFormatTest#testDelimiterSameAsCommentStartThrowsException1,3,5,168.716049
org.apache.commons.csv.CSVPrinterTest#testCloseWithFlushOff,9,6,186.6082
org.apache.commons.csv.CSVPrinterTest#testJira135_part3,13,7,167.422272
org.apache.commons.csv.CSVFormatTest#testWithQuotePolicy,4,4,168.719681
org.apache.commons.csv.issues.JiraCsv203Test#testWithEmptyValues,8,0,163.865067
org.apache.commons.csv.CSVFormatTest#testEqualsLeftNoQuoteRightQuote_Deprecated,5,4,163.316193
org.apache.commons.csv.issues.JiraCsv288Test#testParseWithDoublePipeDelimiterEndsWithDelimiter,10,0,160.261047
org.apache.commons.csv.CSVParserTest#testNoHeaderMap,5,5,165.982285
org.apache.commons.csv.CSVPrinterTest#testJdbcPrinterWithResultSetMetaData,11,6,188.517578
org.apache.commons.csv.CSVPrinterTest#testPlainPlain,8,6,166.747238
org.apache.commons.csv.CSVFormatTest#testPrintWithEscapesEndWithCRLF,7,9,164.499573
org.apache.commons.csv.CSVFormatTest#testJiraCsv236,3,5,167.175491
org.apache.commons.csv.LexerTest#testEscapingAtEOF,6,2,163.802887
