TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.dbcp2.datasources.TestCPDSConnectionFactory#testNullValidationQuery_Deprecated,10,5,165.455109,11.424192,14.569484,33.0910218,2.2848384,2.9138968,330.910218,22.848384,29.138968,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
org.apache.commons.dbcp2.datasources.TestKeyedCPDSConnectionFactory#testConnectionErrorCleanup,35,39,164.493988,11.417108,14.44257,4.217794564102564,0.29274635897435897,0.3703223076923077,147.62280974358973,10.246122564102564,12.961280769230768,16,1,0,0,0,0,0,13,0,0,0,0,0,1,0,0,5,1,0,0,2
org.apache.commons.dbcp2.TestBasicDataSource#testDefaultCatalog,20,20,169.315826,11.41949,14.791819,8.4657913,0.5709744999999999,0.73959095,169.315826,11.41949,14.791819,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,9
org.apache.commons.dbcp2.TestDelegatingResultSet#testGetDateString,8,3,184.462006,11.469365,16.16195,61.487335333333334,3.8231216666666668,5.387316666666667,491.8986826666667,30.584973333333334,43.098533333333336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
org.apache.commons.dbcp2.TestDelegatingDatabaseMetaData#testGetMaxStatementLength,8,2,180.778122,11.468066,15.76361,90.389061,5.734033,7.881805,723.112488,45.872264,63.05444,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
org.apache.commons.dbcp2.TestDelegatingResultSet#testUpdateNClobStringNClob,8,3,182.898514,11.426262,15.992793,60.966171333333335,3.808754,5.3309310000000005,487.7293706666667,30.470032,42.647448000000004,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
org.apache.commons.dbcp2.TestDelegatingPreparedStatement#testSetAsciiStreamIntegerInputStreamLong,8,3,178.082855,11.462786,15.544637,59.360951666666665,3.8209286666666666,5.181545666666667,474.8876133333333,30.567429333333333,41.45236533333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
org.apache.commons.dbcp2.TestDelegatingResultSet#testUpdateBlobIntegerInputStreamLong,8,3,184.126312,11.46705,16.064584,61.37543733333334,3.82235,5.354861333333333,491.0034986666667,30.5788,42.838890666666664,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
org.apache.commons.dbcp2.TestDelegatingDatabaseMetaData#testGetMaxColumnsInOrderBy,8,2,182.678299,11.429368,15.983237,91.3391495,5.714684,7.9916185,730.713196,45.717472,63.932948,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
org.apache.commons.dbcp2.TestDelegatingCallableStatement#testGetBooleanInteger,8,3,181.735077,11.405657,15.958628,60.578359,3.8018856666666667,5.319542666666666,484.626872,30.415085333333334,42.55634133333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
