TC,LOC,SC,E
org.apache.commons.dbcp2.datasources.TestPerUserPoolDataSource#testPerUserEvictionPolicyClassNameWithUserMapInitialized,8,7,169.152054
org.apache.commons.dbcp2.TestDelegatingDatabaseMetaData#testSupportsOpenCursorsAcrossCommit,8,2,174.325119
org.apache.commons.dbcp2.datasources.TestPerUserPoolDataSource#testMaxWaitMillisZero,12,5,173.497009
org.apache.commons.dbcp2.TestDelegatingDatabaseMetaData#testGetMaxProcedureNameLength,8,2,181.543976
org.apache.commons.dbcp2.TestDelegatingResultSet#testGetShortString,8,3,182.537445
org.apache.commons.dbcp2.TestDelegatingResultSet#testSetFetchSizeInteger,8,2,182.522263
org.apache.commons.dbcp2.managed.TestBasicManagedDataSource#testRuntimeExceptionsAreRethrown,11,8,161.104614
org.apache.commons.dbcp2.TestDelegatingStatement#testExecuteQueryString,8,0,176.093719
org.apache.commons.dbcp2.cpdsadapter.TestDriverAdapterCPDS#testGetObjectInstanceNull,4,0,158.282501
org.apache.commons.dbcp2.TestDelegatingResultSet#testUpdateClobIntegerClob,8,3,188.620895
org.apache.commons.dbcp2.datasources.TestPerUserPoolDataSource#testPerUserDefaultTransactionIsolationWithUserMapNotInitialized,5,4,170.451447
org.apache.commons.dbcp2.TestBasicDataSource#testJmxDisabled,12,10,169.672516
org.apache.commons.dbcp2.TestDriverConnectionFactory#testDriverConnectionFactoryToString,5,4,165.509537
org.apache.commons.dbcp2.datasources.TestPerUserPoolDataSource#testPerUserMaxWaitDurationMapNotInitializedMissingKey,7,5,170.295013
org.apache.commons.dbcp2.datasources.TestPerUserPoolDataSource#testPerUserTestOnCreateMapNotInitializedMissingKey,7,5,166.849655
org.apache.commons.dbcp2.TestDelegatingPreparedStatement#testSetUnicodeStreamIntegerInputStreamInteger,8,2,176.585861
org.apache.commons.dbcp2.TestDelegatingStatement#testSetMaxRowsInteger,8,0,174.433182
org.apache.commons.dbcp2.TestDelegatingDatabaseMetaData#testSupportsCatalogsInIndexDefinitions,8,2,179.653473
org.apache.commons.dbcp2.managed.TestBasicManagedDataSource#testCreateXaDataSourceNewInstance,8,7,166.190842
org.apache.commons.dbcp2.datasources.TestPerUserPoolDataSource#testPerUserDefaultReadOnlyMapInitialized,12,6,174.296356
org.apache.commons.dbcp2.TestDelegatingResultSet#testGetNClobString,8,3,186.232895
org.apache.commons.dbcp2.TestBasicDataSource#testEmptyValidationQuery,7,8,165.904343
org.apache.commons.dbcp2.TestDelegatingPreparedStatement#testSetNCharacterStreamIntegerReaderLong,8,3,176.64183
org.apache.commons.dbcp2.TestDelegatingCallableStatement#testGetBigDecimalString,8,3,183.498795
org.apache.commons.dbcp2.TestDelegatingDatabaseMetaData#testSupportsOpenStatementsAcrossCommit,8,2,183.532104
org.apache.commons.dbcp2.managed.TestLocalXaResource#testStartNoFlagButAlreadyEnlisted,4,0,162.212006
org.apache.commons.dbcp2.datasources.TestSharedPoolDataSource#testSimple,12,0,162.756409
org.apache.commons.dbcp2.TestDelegatingResultSet#testUpdateBigDecimalIntegerBigDecimal,8,3,183.933655
org.apache.commons.dbcp2.TestDelegatingResultSet#testGetObjectString,8,3,175.074768
org.apache.commons.dbcp2.TestBasicDataSource#testStart,22,30,167.774353
org.apache.commons.dbcp2.TestDelegatingResultSet#testGetShortInteger,8,3,185.443939
org.apache.commons.dbcp2.datasources.TestSharedPoolDataSource#testSimple2,41,0,168.839767
org.apache.commons.dbcp2.TestDelegatingCallableStatement#testGetCharacterStreamString,8,3,180.57193
org.apache.commons.dbcp2.TestDelegatingDatabaseMetaData#testSupportsSchemasInTableDefinitions,8,2,179.443848
