TC,LOC,SC,E,P,T,ESLoc,PSLoc,TSLoc,AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.dbutils.AsyncQueryRunnerTest#testGoodBatchDefaultConstructor,5,2,216.373337,11.988748,18.082946,540.9333425,29.971869999999996,45.207364999999996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.dbutils.QueryRunnerTest#testGoodBatchInsert,31,3,228.255875,11.931002,19.098135,2358.644041666667,123.28702066666666,197.347395,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
org.apache.commons.dbutils.handlers.columns.TimestampColumnHandlerTest#testApplyType,4,1,206.578247,12.001156,17.172596,826.312988,48.004624,68.690384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.AsyncQueryRunnerTest#testTooManyParamsBatch,4,1,228.13205,12.336323,18.49271,912.5282,49.345292,73.97084,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.dbutils.QueryRunnerTest#testGoodQueryPmdTrue,4,2,219.21138,12.000071,18.287509,438.42276,24.000142,36.575018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#closeStatement,5,3,209.826309,11.961961,17.474758,349.71051500000004,19.936601666666668,29.12459666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyConnection,5,3,207.087265,11.965108,17.307597,345.14544166666667,19.94184666666667,28.845995000000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.AsyncQueryRunnerTest#testInsertUsesGivenQueryRunner,13,2,215.187531,11.953146,18.002585,1398.7189515,77.695449,117.0168025,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.dbutils.ResultSetIteratorTest#testCreatesResultSetIteratorTakingThreeArgumentsAndCallsRemove,5,3,203.918961,12.055752,16.91141,339.864935,20.09292,28.185683333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.dbutils.QueryRunnerTest#testGoodExecuteDefaultConstructor,4,2,222.06105,12.016673,18.504781,444.1221,24.033346,37.009562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#closeNullStatement,3,3,178.050629,11.934411,14.974934,178.050629,11.934411,14.974934,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyStatementThrowingException,5,3,199.402359,11.958352,16.65703,332.337265,19.930586666666667,27.761716666666665,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.dbutils.DbUtilsTest#testCommitAndCloseQuietlyWithNullDoesNotThrowAnSQLException,3,3,175.202957,11.938048,14.676929,175.202957,11.938048,14.676929,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
