TC,LOC,SC,E
org.apache.commons.dbutils.ResultSetIteratorTest#testCreatesResultSetIteratorTakingThreeArgumentsAndCallsRemove,5,3,203.918961
org.apache.commons.dbutils.QueryRunnerTest#testGoodInsert,13,1,219.952164
org.apache.commons.dbutils.AsyncQueryRunnerTest#testExecuteBatchException,5,0,221.539703
org.apache.commons.dbutils.DbUtilsTest#testCommitAndCloseQuietlyWithNullDoesNotThrowAnSQLException,3,3,175.202957
org.apache.commons.dbutils.QueryRunnerTest#testGoodBatchDefaultConstructor,5,3,215.090775
org.apache.commons.dbutils.QueryRunnerTest#testNoParamsUpdate,3,0,220.954025
org.apache.commons.dbutils.QueryRunnerTest#testExecuteException,4,0,220.263733
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyConnection,5,3,207.087265
org.apache.commons.dbutils.QueryRunnerTest#testExecuteBatchException,5,0,218.610947
org.apache.commons.dbutils.handlers.columns.DoubleColumnHandlerTest#testApplyType,4,1,210.639313
org.apache.commons.dbutils.DbUtilsTest#closeQuietlyResultSetThrowingException,5,3,210.354385
org.apache.commons.dbutils.DbUtilsTest#rollbackAndClose,6,3,200.451492
org.apache.commons.dbutils.QueryRunnerTest#testAddBatchException,5,0,223.883774
org.apache.commons.dbutils.handlers.properties.DatePropertyHandlerTest#testApplyTypeOfTimestamp,3,2,179.104126
org.apache.commons.dbutils.DbUtilsTest#rollbackNull,3,3,184.596634
org.apache.commons.dbutils.QueryRunnerTest#testTooFewParamsBatch,4,1,223.833664
org.apache.commons.dbutils.AsyncQueryRunnerTest#testGoodQueryDefaultConstructor,4,1,222.909988
org.apache.commons.dbutils.handlers.BeanMapHandlerTest#testEmptyResultSet,6,1,209.684174
org.apache.commons.dbutils.QueryRunnerTest#testGoodQuery,3,0,226.283417
org.apache.commons.dbutils.handlers.properties.PropertyHandlerTest#testFoundMoreThanLocal,7,0,183.437866
org.apache.commons.dbutils.OutParameterTest#testSetValue,5,1,208.834656
org.apache.commons.dbutils.DbUtilsTest#rollbackAndCloseQuietlyNull,3,3,179.788284
org.apache.commons.dbutils.handlers.columns.IntegerColumnHandlerTest#testApplyType,4,1,207.733795
org.apache.commons.dbutils.DbUtilsTest#closeNullStatement,3,3,178.050629
org.apache.commons.dbutils.handlers.properties.StringEnumPropertyHandlerTest#testMatch,3,2,182.17926
org.apache.commons.dbutils.AsyncQueryRunnerTest#testGoodBatch,4,1,222.085526
org.apache.commons.dbutils.DbUtilsTest#closeConnection,5,3,198.827362
org.apache.commons.dbutils.QueryRunnerTest#testGoodUpdatePmdTrue,4,2,220.554459
org.apache.commons.dbutils.QueryRunnerTest#testGoodExecuteDefaultConstructor,4,2,222.06105
org.apache.commons.dbutils.QueryRunnerTest#testTooFewParamsQuery,3,0,220.034012
org.apache.commons.dbutils.AsyncQueryRunnerTest#testGoodUpdatePmdTrue,4,1,213.078125
org.apache.commons.dbutils.QueryRunnerTest#testTooFewParamsExecuteWithResultSet,3,0,220.774658
