TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.mail.MultiPartEmailTest#testGetSetSubType,6,4,193.794098,12.28512,15.868169,48.4485245,3.07128,3.96704225,290.691147,18.42768,23.802253500000003,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.mail.resolver.DataSourceCompositeResolverTest#testResolvingFilesLenient,5,7,174.308563,12.198439,14.254378,24.901223285714284,1.742634142857143,2.0363397142857145,124.50611642857143,8.713170714285715,10.181698571428573,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.mail.EmailTest#testSetContentNull,4,2,162.233795,12.278371,13.231716,81.1168975,6.1391855,6.615858,324.46759,24.556742,26.463432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.mail.SimpleEmailTest#testGetSetMsg,15,7,159.627213,12.20204,13.08201,22.80388757142857,1.7431485714285715,1.8688585714285715,342.0583135714286,26.14722857142857,28.032878571428572,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1
org.apache.commons.mail.ImageHtmlEmailTest#testSendEmptyHTML,11,3,208.482864,12.286979,16.967789,69.494288,4.095659666666667,5.655929666666666,764.437168,45.05225633333334,62.215226333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
org.apache.commons.mail.EmailTest#testSupportForInternationalDomainNames,17,18,167.011887,12.160993,13.756112,9.278438166666668,0.6756107222222222,0.7642284444444445,157.73344883333334,11.485382277777777,12.991883555555555,4,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,9
org.apache.commons.mail.ImageHtmlEmailTest#testSendHTMLAutoResolveFile,26,9,223.677429,12.340228,18.092704,24.853047666666665,1.3711364444444445,2.010300444444445,646.1792393333333,35.64954755555556,52.26781155555556,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2
org.apache.commons.mail.ImageHtmlEmailTest#testSendHtml,22,8,225.912857,12.300235,18.366548,28.239107125,1.537529375,2.2958185,621.26035675,33.82564625,50.508007000000006,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2
org.apache.commons.mail.util.MimeMessageParserTest#testMultipartTextAttachmentOnly,25,37,169.082138,12.278042,13.840306,4.569787513513513,0.33183897297297293,0.37406232432432435,114.24468783783783,8.295974324324323,9.351558108108108,16,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,17
org.apache.commons.mail.resolver.DataSourceClassPathResolverTest#testResolvingClassPathLenient,13,11,160.478394,12.233302,13.161752,14.58894490909091,1.1121183636363636,1.196522909090909,189.65628381818183,14.457538727272727,15.554797818181818,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.mail.EmailTest#testGetSetAuthenticator,9,2,163.652328,12.262741,13.334942,81.826164,6.1313705,6.667471,736.4354760000001,55.1823345,60.007239000000006,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.mail.HtmlEmailTest#testSend,43,9,217.996933,12.312669,17.642013,24.221881444444445,1.3680743333333334,1.9602236666666666,1041.540902111111,58.827196333333326,84.28961766666666,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3
org.apache.commons.mail.EmailTest#testAddCcWithEncoding,13,8,160.588791,12.230752,13.12992,20.073598875,1.528844,1.64124,260.956785375,19.874972,21.336119999999998,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2
org.apache.commons.mail.EmailUtilsTest#testUrlEncoding,8,6,159.584534,12.224543,13.032467,26.59742233333333,2.0374238333333334,2.1720778333333333,212.77937866666664,16.299390666666667,17.376622666666666,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.mail.EmailTest#testSetHeaders,9,5,162.282013,12.212798,13.265628,32.456402600000004,2.4425596,2.6531256,292.1076234,21.9830364,23.8781304,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.mail.HtmlEmailTest#testCallingBuildMimeMessageBeforeSent,23,5,209.18988,12.243522,17.08576,41.837976,2.4487044,3.417152,962.2734479999999,56.32020120000001,78.594496,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
org.apache.commons.mail.EmailTest#testSetPopBeforeSmtp,11,4,164.960403,12.202886,13.451332,41.24010075,3.0507215,3.362833,453.64110825,33.5579365,36.991163,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.mail.ImageHtmlEmailTest#testSendHTMLAbsoluteLocalFile,18,6,220.503357,12.312591,17.98684,36.7505595,2.0520985,2.997806666666667,661.510071,36.937773,53.96052,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2
org.apache.commons.mail.HtmlEmailTest#testEmbedUrlAndFile,8,5,210.686111,12.326282,17.09243,42.137222200000004,2.4652564000000003,3.418486,337.09777760000003,19.722051200000003,27.347888,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
org.apache.commons.mail.EmailTest#testEndOflineCharactersInSubjectAreReplacedWithSpaces,11,10,164.632797,12.246525,13.453691,16.4632797,1.2246525,1.3453690999999999,181.09607670000003,13.471177500000001,14.7990601,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.mail.SimpleEmailTest#testDefaultMimeCharset,22,1,161.609497,12.303682,13.135051,161.609497,12.303682,13.135051,3555.408934,270.681004,288.971122,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
org.apache.commons.mail.EmailTest#testSetContentEmptyMimeMultipart,5,2,164.611542,12.31632,13.333678,82.305771,6.15816,6.666839,411.52885499999996,30.790799999999997,33.334195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.mail.HtmlEmailTest#testSend2,35,5,214.27948,12.298651,17.487749,42.855896,2.4597302,3.4975498000000003,1499.9563600000001,86.090557,122.41424300000001,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1
org.apache.commons.mail.EmailTest#testSetContentMimeMultipart,5,2,161.029541,12.246102,13.149453,80.5147705,6.123051,6.5747265,402.5738525,30.615255,32.8736325,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.mail.EmailTest#testSetContentObject,22,12,162.135071,12.263846,13.348357,13.511255916666668,1.0219871666666667,1.1123630833333333,297.2476301666667,22.483717666666667,24.471987833333337,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1
org.apache.commons.mail.ImageHtmlEmailTest#testSendHTMLAutoResolveMultipleFiles,24,9,224.441208,12.347454,18.177125,24.937911999999997,1.3719393333333334,2.0196805555555555,598.5098879999999,32.926544,48.47233333333333,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2
org.apache.commons.mail.EmailTest#testAddHeader,13,6,161.671982,12.191537,13.320486,26.945330333333334,2.0319228333333332,2.220081,350.2892943333333,26.414996833333333,28.861053,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.mail.EmailTest#testGetSetCharset,8,4,163.81839,12.261528,13.360714,40.9545975,3.065382,3.3401785,327.63678,24.523056,26.721428,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.commons.mail.util.MimeMessageParserTest#testParseCreatedHtmlEmailWithTextContent,26,31,181.416412,12.489032,14.526059,5.8521423225806455,0.402872,0.4685825483870968,152.15570038709677,10.474672,12.183146258064516,13,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15
org.apache.commons.mail.EmailTest#testAddBccArray,9,7,160.925385,12.22229,13.266346,22.989340714285714,1.7460414285714285,1.8951922857142858,206.90406642857144,15.714372857142855,17.05673057142857,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
org.apache.commons.mail.resolver.DataSourceUrlResolverTest#testResolvingHttpLenient,7,11,173.593155,12.230549,14.273963,15.78119590909091,1.111868090909091,1.297633,110.46837136363636,7.783076636363637,9.083431000000001,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.mail.MultiPartEmailTest#testAttach2,4,2,197.483139,12.287434,16.078486,98.7415695,6.143717,8.039243,394.966278,24.574868,32.156972,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.mail.EmailTest#testGetHeaders,7,4,167.962738,12.314508,13.615749,41.9906845,3.078627,3.40393725,293.9347915,21.550389000000003,23.82756075,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
