TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#testStripDelimiter,10,4,181.706406,11.855168,15.357715,45.4266015,2.963792,3.83942875,454.2660149999999,29.63792,38.3942875,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#parseImpliedUtf8,11,2,185.287689,11.849868,15.680269,92.6438445,5.924934,7.8401345,1019.0822895,65.174274,86.2414795,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.fileupload2.ParameterParserTest#testFileUpload274,18,8,194.236588,12.170049,15.905519,24.2795735,1.521256125,1.988189875,437.0323230000001,27.382610250000003,35.78741775,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#emptyDecode,3,1,180.769012,11.832421,15.319071,180.769012,11.832421,15.319071,542.307036,35.497263000000004,45.957213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.fileupload2.FileUploadTest#testFILEUPLOAD62,18,12,184.249451,11.907462,15.460834,15.354120916666666,0.9922885,1.2884028333333333,276.37417650000003,17.861193000000004,23.191251,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
org.apache.commons.fileupload2.FileUploadTest#testIE5MacBug,20,15,182.490829,11.801822,15.461246,12.166055266666666,0.7867881333333333,1.0307497333333333,243.32110533333332,15.735762666666666,20.614994666666664,13,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#noNeedToDecode,3,1,181.554047,11.801569,15.347774,181.554047,11.801569,15.347774,544.662141,35.404707,46.043322,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.fileupload2.FileUploadTest#testFilenameCaseSensitivity,7,4,186.614868,11.850198,15.747827,46.653717,2.9625495,3.93695675,326.57601900000003,20.737846500000003,27.55869725,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.fileupload2.FileUploadTest#testFileUpload,22,17,185.511597,11.855636,15.639192,10.91244688235294,0.6973903529411765,0.9199524705882353,240.0738314117647,15.342587764705883,20.238954352941178,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
org.apache.commons.fileupload2.ParameterParserTest#testFileUpload199,6,4,195.619781,12.183205,16.045638,48.90494525,3.04580125,4.0114095,293.4296715,18.2748075,24.068457000000002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.fileupload2.portlet.PortletFileUploadTest#parseParameterMap,12,10,182.404449,11.829454,15.442619,18.2404449,1.1829454,1.5442619,218.8853388,14.195344799999999,18.5311428,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
org.apache.commons.fileupload2.servlet.ServletFileUploadTest#parseImpliedUtf8,11,2,185.038666,11.891383,15.560735,92.519333,5.9456915,7.7803675,1017.712663,65.40260649999999,85.5840425,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.fileupload2.servlet.ServletFileUploadTest#parseParameterMap,13,12,184.357666,11.858709,15.511666,15.363138833333332,0.9882257499999999,1.2926388333333334,199.72080483333332,12.846934749999999,16.804304833333333,6,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1
org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#testHasEncodedValue,8,3,181.079529,11.819535,15.257846,60.359843000000005,3.939845,5.085948666666667,482.87874400000004,31.51876,40.687589333333335,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.fileupload2.FileItemHeadersTest#testFileItemHeaders,40,29,181.033401,11.834337,15.288593,6.242531068965517,0.4080805862068965,0.5271928620689655,249.7012427586207,16.32322344827586,21.08771448275862,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0
org.apache.commons.fileupload2.FileUploadTest#testEmptyFile,8,5,187.13179,11.881049,15.746811,37.426358,2.3762098000000003,3.1493621999999997,299.410864,19.009678400000002,25.194897599999997,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#rfc4648Section10Decode,9,1,183.857651,11.854933,15.560727,183.857651,11.854933,15.560727,1654.718859,106.69439700000001,140.046543,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.fileupload2.ParameterParserTest#testParsingEscapedChars,12,10,180.613739,11.795116,15.260726,18.0613739,1.1795116,1.5260726,216.7364868,14.1541392,18.3128712,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.fileupload2.ParameterParserTest#testParsing,29,26,183.180023,11.849756,15.48017,7.0453855,0.4557598461538461,0.5953911538461538,204.3161795,13.217035538461538,17.26634346153846,15,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,0,0,0,2
org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#parseParameterMap,13,12,185.696472,11.866017,15.649435,15.474706,0.98883475,1.3041195833333334,201.171178,12.854851749999998,16.953554583333332,6,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1
org.apache.commons.fileupload2.MultipartStreamTest#testTwoParamConstructor,8,2,181.665329,11.875612,15.34357,90.8326645,5.937806,7.671785,726.661316,47.502448,61.37428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.fileupload2.FileUploadTest#testContentTypeAttachment,14,11,187.922424,11.896654,15.763858,17.083856727272728,1.081514,1.433078,239.1739941818182,15.141196,20.063092,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
org.apache.commons.fileupload2.ParameterParserTest#testFileUpload139,12,7,183.655563,11.87145,15.464615,26.236509,1.6959214285714286,2.2092307142857144,314.838108,20.35105714285714,26.51076857142857,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
org.apache.commons.fileupload2.MultipartStreamTest#testSmallBuffer,8,1,180.951996,11.813326,15.349338,180.951996,11.813326,15.349338,1447.615968,94.506608,122.794704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.fileupload2.FileUploadTest#testFileUpload130,14,7,186.118942,11.850139,15.731995,26.588420285714285,1.692877,2.247427857142857,372.237884,23.700278,31.46399,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#noNeedToDecode,3,1,184.99472,11.900435,15.545206,184.99472,11.900435,15.545206,554.9841600000001,35.701305000000005,46.635618,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#plainDecode,3,1,182.735931,11.868189,15.426713,182.735931,11.868189,15.426713,548.207793,35.604567,46.280139,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.fileupload2.ParameterParserTest#testContentTypeParsing,7,4,183.142303,11.893027,15.476527,45.78557575,2.97325675,3.86913175,320.49903025000003,20.812797250000003,27.083922250000004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.fileupload2.MultipartStreamTest#testThreeParamConstructor,9,2,183.147278,11.843426,15.460691,91.573639,5.921713,7.7303455,824.1627510000001,53.295417,69.5731095,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.fileupload2.FileUploadTest#testFoldedHeaders,22,17,186.420349,11.840157,15.713647,10.96590288235294,0.6964798235294117,0.9243321764705882,241.2498634117647,15.322556117647059,20.335307882352943,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
