TC,LOC,SC,E
org.apache.commons.fileupload2.StreamingTest#testInvalidFileNameException,25,0,186.144501
org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#plainDecode,3,1,182.735931
org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#testHasEncodedValue,8,3,181.079529
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#decodeTrailingJunk,3,0,181.100388
org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#testStripDelimiter,10,4,181.706406
org.apache.commons.fileupload2.FileUploadTest#testFileUpload,22,17,185.511597
org.apache.commons.fileupload2.StreamingTest#testFileUpload,20,0,191.824097
org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#decodeIso88591Base64Encoded,3,0,184.198639
org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#parseParameterMap,13,12,185.696472
org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#decodeIso88591,3,0,180.237259
org.apache.commons.fileupload2.StreamingTest#testFILEUPLOAD135,23,0,183.434479
org.apache.commons.fileupload2.SizesTest#testFileSizeLimitWithFakedContentLength,37,0,184.647568
org.apache.commons.fileupload2.ParameterParserTest#testFileUpload274,18,8,194.236588
org.apache.commons.fileupload2.DiskFileItemSerializeTest#testValidRepository,4,0,184.572418
org.apache.commons.fileupload2.StreamingTest#testIOException,31,0,186.007278
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#truncatedString,4,0,183.547745
org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#decodeInvalidEncoding,3,0,180.851105
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#decodeTrailing3,3,0,182.742142
org.apache.commons.fileupload2.DiskFileItemSerializeTest#testAboveThreshold,13,0,181.76358
org.apache.commons.fileupload2.ParameterParserTest#testFileUpload139,12,7,183.655563
org.apache.commons.fileupload2.SizesTest#testMaxSizeLimitUnknownContentLength,35,0,184.144897
org.apache.commons.fileupload2.portlet.PortletFileUploadTest#parseParameterMap,12,10,182.404449
org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#softLineBreakDecode,3,0,183.025024
org.apache.commons.fileupload2.ProgressListenerTest#testProgressListener,23,0,192.511246
org.apache.commons.fileupload2.SizesTest#testMaxSizeLimit,14,0,183.875183
org.apache.commons.fileupload2.FileUploadTest#testEmptyFile,8,5,187.13179
org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#truncatedEscape,3,0,195.985855
org.apache.commons.fileupload2.DiskFileItemSerializeTest#testThreshold,4,0,188.257828
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#nonBase64Bytes,3,0,183.32489
org.apache.commons.fileupload2.ParameterParserTest#testFileUpload199,6,4,195.619781
org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#unsafeDecodeLowerCase,3,0,182.347488
org.apache.commons.fileupload2.FileUploadTest#testFilenameCaseSensitivity,7,4,186.614868
org.apache.commons.fileupload2.ParameterParserTest#testParsingEscapedChars,12,10,180.613739
org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#decodeInvalidEncoding,3,0,181.902985
org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#basicEncodeDecode,3,0,182.277451
org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#decodeUtf8QuotedPrintableEncoded,3,0,180.787827
org.apache.commons.fileupload2.DiskFileItemSerializeTest#testBelowThreshold,4,0,186.199585
org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#emptyDecode,3,1,180.769012
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#decodeTrailing2,3,0,183.171402
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#nonASCIIcharacter,4,0,185.491226
org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#unsafeDecode,3,0,182.349869
org.apache.commons.fileupload2.FileUploadTest#testFILEUPLOAD62,18,12,184.249451
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#badLength,3,0,181.584229
org.apache.commons.fileupload2.DiskFileItemSerializeTest#testInvalidRepository,6,0,185.057999
org.apache.commons.fileupload2.FileItemHeadersTest#testFileItemHeaders,40,29,181.033401
org.apache.commons.fileupload2.SizesTest#testFileSizeLimit,27,0,183.480316
org.apache.commons.fileupload2.MultipartStreamTest#testSmallBuffer,8,1,180.951996
org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#noNeedToDecode,3,1,184.99472
org.apache.commons.fileupload2.servlet.ServletFileUploadTest#parseImpliedUtf8,11,2,185.038666
org.apache.commons.fileupload2.ParameterParserTest#testContentTypeParsing,7,4,183.142303
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#decodeTrailing1,3,0,183.588852
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#badPaddingLeading2,3,0,180.802368
org.apache.commons.fileupload2.MultipartStreamTest#testTwoParamConstructor,8,2,181.665329
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#rfc4648Section10Decode,9,1,183.857651
org.apache.commons.fileupload2.DiskFileItemSerializeTest#testInvalidRepositoryWithNullChar,6,0,185.472702
org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#invalidQuotedPrintableEncoding,3,0,193.049942
org.apache.commons.fileupload2.SizesTest#testFileUpload,34,0,195.108368
org.apache.commons.fileupload2.FileUploadTest#testIE5MacBug,20,15,182.490829
org.apache.commons.fileupload2.ParameterParserTest#testParsing,29,26,183.180023
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#decodeWithInnerPad,3,0,194.22963
org.apache.commons.fileupload2.MultipartStreamTest#testThreeParamConstructor,9,2,183.147278
org.apache.commons.fileupload2.FileUploadTest#testFileUpload130,14,7,186.118942
org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#decodeIso88591Base64EncodedWithWhiteSpace,3,0,185.446121
org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#invalidSoftBreak1,3,0,182.619385
org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#decodeUtf8Base64Encoded,3,0,183.722855
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#badPadding,3,0,184.319031
org.apache.commons.fileupload2.StreamingTest#testFileUploadException,12,0,192.696457
org.apache.commons.fileupload2.jaksrvlt.JakSrvltFileUploadTest#parseImpliedUtf8,11,2,185.287689
org.apache.commons.fileupload2.FileUploadTest#testContentTypeAttachment,14,11,187.922424
org.apache.commons.fileupload2.util.mime.RFC2231UtilityTestCase#decodeUtf8,3,0,183.06897
org.apache.commons.fileupload2.servlet.ServletFileUploadTest#parseParameterMap,13,12,184.357666
org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#invalidCharDecode,3,0,181.023087
org.apache.commons.fileupload2.util.mime.QuotedPrintableDecoderTestCase#invalidSoftBreak2,3,0,181.784058
org.apache.commons.fileupload2.util.mime.Base64DecoderTestCase#badPaddingLeading1,3,0,183.935593
org.apache.commons.fileupload2.FileUploadTest#testFoldedHeaders,22,17,186.420349
org.apache.commons.fileupload2.util.mime.MimeUtilityTestCase#noNeedToDecode,3,1,181.554047
