TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.imaging.formats.tiff.photometricinterpreters.floatingpoint.PaletteEntryForValueTest#testIsCovered,9,6,185.783234,11.816785,15.768289,30.96387233333333,1.9694641666666666,2.6280481666666664,278.674851,17.7251775,23.6524335,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1
org.apache.commons.imaging.formats.tiff.photometricinterpreters.PhotometricInterpreterRgbTest#testInterpretPixel,7,1,189.762772,11.729658,16.190345,189.762772,11.729658,16.190345,1328.339404,82.107606,113.33241500000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.imaging.color.ColorCieLabTest#testAAssignment,3,2,192.56929,11.820639,16.2871,96.284645,5.9103195,8.14355,288.85393500000004,17.7309585,24.43065,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.imaging.color.ColorXyzTest#testHashCodeAndEquals,4,3,192.050369,11.706423,16.353033,64.01678966666667,3.902141,5.451011,256.06715866666667,15.608564,21.804044,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.imaging.formats.tiff.photometricinterpreters.floatingpoint.PhotometricInterpreterFloatTest#testInterpretPixel,18,8,194.071075,11.776711,16.544668,24.258884375,1.472088875,2.0680835,436.65991875000003,26.497599750000003,37.225503,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.imaging.common.ImageBuilderTest#testSubimageAccess,24,12,196.329559,11.761405,16.616599,16.360796583333332,0.9801170833333334,1.3847165833333335,392.659118,23.52281,33.233198,4,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.imaging.common.ImageBuilderTest#testBoundsCheck,9,2,185.350647,11.74397,15.782623,92.6753235,5.871985,7.8913115,834.0779115000001,52.847865,71.0218035,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.imaging.color.ColorXyzTest#testToString,3,2,193.375702,11.79979,16.364812,96.687851,5.899895,8.182406,290.063553,17.699685000000002,24.547218,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
org.apache.commons.imaging.formats.tiff.TiffRasterStatisticsTest#testGetMaxValue,4,4,193.478973,11.725277,16.499431,48.36974325,2.93131925,4.12485775,193.478973,11.725277,16.499431,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.imaging.formats.tiff.TiffRasterDataIntTest#testBadConstructor,8,1,184.756882,11.708239,15.781907,184.756882,11.708239,15.781907,1478.055056,93.665912,126.255256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
