TC,LOC,SC,E
org.apache.commons.imaging.formats.tiff.fieldtypes.FieldTypeAsciiTest#testCreatesFieldTypeAsciiAndWriteDataUsingString,6,4,190.267899
org.apache.commons.imaging.formats.jpeg.exif.MicrosoftTagTest#testWrite,18,0,195.095627
org.apache.commons.imaging.TestImageInfo#testCompressionAlgorithm,4,5,192.81813
org.apache.commons.imaging.common.ImageBuilderTest#testSubimageAccess,24,12,196.329559
org.apache.commons.imaging.color.ColorHslTest#testToString,3,2,185.907089
org.apache.commons.imaging.formats.ico.IcoRoundtripTest#testBadICONDIRENTRYIcons,17,0,197.948227
org.apache.commons.imaging.color.ColorCieLuvTest#testLAssignment,3,2,193.292282
org.apache.commons.imaging.formats.tiff.TiffRasterDataIntTest#testBadCoordinates,18,6,187.082047
org.apache.commons.imaging.formats.tiff.TiffFloatingPointMultivariableTest#test,33,0,196.861832
org.apache.commons.imaging.formats.tiff.photometricinterpreters.floatingpoint.PhotometricInterpreterFloatTest#testGetMeanFound,5,3,193.812607
org.apache.commons.imaging.formats.tiff.TiffRasterStatisticsTest#testGetMinValue,4,4,197.93898
org.apache.commons.imaging.color.ColorCieLabTest#testAAssignment,3,2,192.56929
org.apache.commons.imaging.formats.tiff.photometricinterpreters.floatingpoint.PhotometricInterpreterFloatTest#testGetMinXY,5,1,195.334488
org.apache.commons.imaging.formats.wbmp.WbmpReadTest#test,13,0,193.039062
org.apache.commons.imaging.formats.bmp.BmpImageParserTest#testImageForNegativeArraySizeException,6,5,190.90155
org.apache.commons.imaging.formats.png.chunks.PngChunkTextTest#testCreatesPngChunkText,11,3,191.420059
org.apache.commons.imaging.formats.ico.IcoRoundtripTest#testAlphaVersusANDMask,11,0,197.237213
org.apache.commons.imaging.color.ColorXyzTest#testHashCodeAndEquals,4,3,192.050369
org.apache.commons.imaging.formats.tiff.fieldtypes.FieldTypeAsciiTest#testCreatesFieldTypeAsciiAndCallsWriteData,7,3,187.168106
org.apache.commons.imaging.TestImageReadException#testCreateExceptionWithMessage,5,6,186.026123
org.apache.commons.imaging.formats.pnm.PbmFileInfoTest#testGetRGBThrowsIOException,14,4,203.181046
org.apache.commons.imaging.roundtrip.LimitedColorRoundtripTest#testLimitedColorRoundtrip,10,0,484.512726
org.apache.commons.imaging.TestImageInfo#testToStringErrorWhenFormatIsNull,4,5,188.223083
org.apache.commons.imaging.formats.png.PhysicalScaleTest#createFromMeters,7,11,191.642685
org.apache.commons.imaging.formats.tiff.TiffRasterDataIntTest#testBadConstructor,8,1,184.756882
org.apache.commons.imaging.formats.tiff.taginfos.TagInfoByteOrShortTest#testEncodeValueTakingByteOrderAndByteArrayTwo,8,4,192.059586
org.apache.commons.imaging.formats.icns.IcnsRoundTripTest#test8BPPIcon8BPPMask,34,0,197.221603
org.apache.commons.imaging.formats.tiff.TiffRasterStatisticsTest#testIsAnExcludedValueSet,4,2,187.574142
org.apache.commons.imaging.formats.png.PngWritePredictorTest#testWriteWithPredictor,52,0,188.384171
org.apache.commons.imaging.formats.tiff.TiffTagIntegrityTest#testTagIntegrity,20,0,199.620972
org.apache.commons.imaging.formats.jpeg.xmp.JpegXmpRewriteTest#testRemoveInsertUpdate,34,0,203.836914
org.apache.commons.imaging.color.ColorConversionsTest#testRGBtoCMYK,13,3,197.598007
org.apache.commons.imaging.formats.jpeg.xmp.JpegXmpDumpTest#test,6,0,196.32251
