TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.lang3.BooleanUtilsTest#testOr_object_nullInput,3,1,205.464401,11.968148,17.167602,205.464401,11.968148,17.167602,616.3932030000001,35.904444,51.502806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.lang3.time.FastDateFormatTest#testCheckDefaults,9,10,203.949966,11.911361,17.183972,20.3949966,1.1911361,1.7183972,183.55496939999998,10.7202249,15.4655748,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
org.apache.commons.lang3.mutable.MutableFloatTest#testToFloat,4,6,194.756561,11.840427,16.483867,32.45942683333333,1.9734045,2.7473111666666665,129.83770733333333,7.893618,10.989244666666666,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.lang3.reflect.InheritanceUtilsTest#testDistanceReverseParentChild,3,3,198.427979,11.864687,16.703459,66.14265966666666,3.954895666666667,5.567819666666666,198.427979,11.864687,16.703459,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.lang3.concurrent.CircuitBreakingExceptionTest#testThrowingExceptionWithMessage,6,1,194.224182,11.820987,16.395271,194.224182,11.820987,16.395271,1165.3450920000002,70.92592200000001,98.371626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.lang3.RandomUtilsTest#testNextInt,4,3,208.701233,11.961931,17.450835,69.56707766666666,3.9873103333333333,5.8169450000000005,278.26831066666665,15.949241333333333,23.267780000000002,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.lang3.mutable.MutableBooleanTest#testSetNull,4,3,203.303802,11.920629,17.054789,67.767934,3.973543,5.684929666666666,271.071736,15.894172,22.739718666666665,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.lang3.math.FractionTest#testGets,18,28,204.792175,11.929518,17.199469,7.314006249999999,0.42605421428571427,0.61426675,131.6521125,7.668975857142857,11.0568015,12,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,3
org.apache.commons.lang3.mutable.MutableBooleanTest#testCompareToNull,4,3,204.351532,11.90216,17.242651,68.11717733333333,3.9673866666666666,5.747550333333333,272.4687093333333,15.869546666666666,22.99020133333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.lang3.mutable.MutableLongTest#testDecrementAndGet,7,9,192.076294,11.794853,16.329234,21.341810444444445,1.3105392222222223,1.8143593333333332,149.3926731111111,9.173774555555555,12.700515333333332,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
org.apache.commons.lang3.RandomStringUtilsTest#testLANG805,4,3,206.063828,12.000122,17.166682,68.68794266666667,4.000040666666666,5.7222273333333336,274.7517706666667,16.000162666666665,22.888909333333334,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
