TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.apache.commons.text.StringEscapeUtilsTest#testUnescapeCsvWriter,11,1,185.247574,12.296901,15.056675,185.247574,12.296901,15.056675,2037.7233139999998,135.265911,165.623425,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.text.StrSubstitutorTest#testReplaceIncompletePrefix,3,1,181.222931,12.28983,14.769975,181.222931,12.28983,14.769975,543.668793,36.869490000000006,44.30992500000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.text.StringSubstitutorTest#testReplaceFailOnUndefinedVariableWithReplaceInVariable,20,7,194.957001,12.357041,15.776997,27.851000142857142,1.7652915714285715,2.2538567142857144,557.0200028571429,35.30583142857143,45.07713428571429,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4
org.apache.commons.text.lookup.PropertiesStringLookupTest#testOne,3,2,179.452484,12.272405,14.757107,89.726242,6.1362025,7.3785535,269.17872600000004,18.4086075,22.1356605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.text.RandomStringGeneratorTest#testGenerateMinMaxLengthMinGreaterThanMax,7,3,220.941818,12.492014,17.63068,73.64727266666667,4.164004666666666,5.876893333333334,515.5309086666667,29.148032666666666,41.13825333333334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.text.lookup.PropertiesStringLookupTest#testInterpolatorWithParameterizedKey2,8,3,199.046753,12.650678,15.77889,66.34891766666667,4.216892666666666,5.2596300000000005,530.7913413333333,33.73514133333333,42.077040000000004,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.text.similarity.LevenshteinDetailedDistanceTest#testHashCode,12,7,191.59726,12.399669,15.444415,27.371037142857144,1.7713812857142857,2.206345,328.4524457142857,21.256575428571427,26.476139999999997,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
org.apache.commons.text.StringSubstitutorTest#testReplaceVariablesCount3NonAdjacent,6,1,190.959641,12.35351,15.466917,190.959641,12.35351,15.466917,1145.7578460000002,74.12106,92.80150200000001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.text.StrLookupTest#testMapLookup_nullMap,6,6,180.102448,12.301872,14.57535,30.01707466666667,2.050312,2.429225,180.102448,12.301872,14.57535,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.text.StrMatcherTest#testTabMatcher,7,9,186.598633,12.336169,15.052863,20.733181444444444,1.3706854444444445,1.6725403333333333,145.1322701111111,9.59479811111111,11.707782333333332,4,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.text.translate.JavaUnicodeEscaperTest#testBelow,6,4,187.026978,12.355842,15.14059,46.7567445,3.0889605,3.7851475,280.54046700000004,18.533763000000004,22.710885,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.text.StringSubstitutorTest#testReplaceInTakingTwoAndThreeIntsReturningFalse,9,9,184.605682,12.263914,14.95592,20.511742444444444,1.362657111111111,1.661768888888889,184.605682,12.263914,14.95592,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
org.apache.commons.text.translate.CsvTranslatorsTest#csvEscaperQuoteTest,8,1,190.383881,12.327846,15.443402,190.383881,12.327846,15.443402,1523.071048,98.622768,123.547216,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.text.StringTokenizerTest#test1,14,11,187.771515,12.384496,15.143937,17.070137727272726,1.1258632727272728,1.3767215454545454,238.98192818181818,15.762085818181818,19.274101636363635,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6
org.apache.commons.text.similarity.LevenshteinDistanceTest#testConstructorWithNegativeThreshold,3,1,185.896362,12.347856,15.154699,185.896362,12.347856,15.154699,557.6890860000001,37.043568,45.464097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.text.StringTokenizerTest#testConstructor_charArray_char_char,14,20,183.116013,12.312974,14.877347,9.15580065,0.6156487,0.74386735,128.1812091,8.6190818,10.4141429,9,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,5
org.apache.commons.text.similarity.LongestCommonSubsequenceTest#testGettingLogestCommonSubsequenceNullString,3,1,188.040161,12.272599,15.271359,188.040161,12.272599,15.271359,564.120483,36.817797,45.814077000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.text.lookup.FileStringLookupTest#testOne,5,2,183.755707,12.349437,14.872368,91.8778535,6.1747185,7.436184,459.38926749999996,30.873592499999997,37.18092,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.text.lookup.StringLookupFactoryTest#testDefaultStringLookupsHolder_multipleLookups,5,1,182.364105,12.266784,14.880588,182.364105,12.266784,14.880588,911.820525,61.33391999999999,74.40293999999999,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.text.translate.AggregateTranslatorTest#testNullVarargConstructor,5,4,185.012054,12.285652,15.072484,46.2530135,3.071413,3.768121,231.2650675,15.357065,18.840604999999996,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.text.lookup.DateStringLookupTest#testToString,3,2,181.96701,12.32428,14.764921,90.983505,6.16214,7.3824605,272.950515,18.486420000000003,22.1473815,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
org.apache.commons.text.AlphabetConverterTest#onlyOneEncodingLettersTest,8,1,201.726959,12.622374,15.977901,201.726959,12.622374,15.977901,1613.815672,100.978992,127.823208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.text.StringSubstitutorTest#testSubstituteDefaultProperties,6,1,186.194794,12.34072,15.076503,186.194794,12.34072,15.076503,1117.168764,74.04432,90.45901800000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.text.AlphabetConverterTest#missingDoNotEncodeLettersFromEncodingTest,3,1,186.44957,12.316594,15.194464,186.44957,12.316594,15.194464,559.34871,36.949782000000006,45.583392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.text.similarity.LevenshteinDetailedDistanceTest#testEquals,13,8,184.116928,12.268234,15.037569,23.014616,1.53352925,1.879696125,299.190008,19.935880249999997,24.436049625,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
org.apache.commons.text.lookup.PropertiesStringLookupTest#testMissingFile,3,1,185.000778,12.341558,14.979071,185.000778,12.341558,14.979071,555.002334,37.024674,44.937213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.text.similarity.IntersectionResultTest#testNewIntersectionResult_WithNegativeIntersection,6,1,181.634796,12.333133,14.74279,181.634796,12.333133,14.74279,1089.808776,73.99879800000001,88.45674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.text.StringSubstitutorTest#testReplaceVariablesCount1Escaping5To4,4,1,187.774811,12.335572,15.171069,187.774811,12.335572,15.171069,751.099244,49.342288,60.684276,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.apache.commons.text.lookup.DnsStringLookupTest#testAddressFromHostAddress,4,2,183.863327,12.337343,14.902992,91.9316635,6.1686715,7.451496,367.726654,24.674686,29.805984,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.text.RandomStringGeneratorTest#testUsingRandom,8,5,190.460876,12.397777,15.362502,38.0921752,2.4795553999999997,3.0725004,304.7374016,19.836443199999998,24.5800032,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
org.apache.commons.text.similarity.IntersectionSimilarityTest#testF1ScoreUsingListWordBigrams,55,53,187.001205,12.364725,15.161873,3.5283246226415095,0.23329669811320755,0.28607307547169813,194.057854245283,12.831318396226415,15.734019150943396,24,0,0,0,0,0,0,24,3,0,0,0,0,1,0,0,0,0,0,0,1
org.apache.commons.text.lookup.DnsStringLookupTest#testAddressFromHostName,4,2,184.491501,12.323683,14.970485,92.2457505,6.1618415,7.4852425,368.983002,24.647366,29.94097,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.apache.commons.text.similarity.LevenshteinDistanceTest#testGetLevenshteinDistance_StringNullInt,3,1,189.387482,12.372915,15.306617,189.387482,12.372915,15.306617,568.162446,37.118745000000004,45.919851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
