TC,LOC,SC,E
org.apache.commons.text.TextStringBuilderTest#testLastIndexOf_String_int,25,0,185.891922
org.apache.commons.text.ExtendedMessageFormatTest#testSetFormatIsUnsupported,7,0,189.904648
org.apache.commons.text.numbers.ParsedDecimalTest#testMaxPrecision_carry,12,0,187.198456
org.apache.commons.text.StrTokenizerTest#testBasicTrimmed2,11,11,181.753372
org.apache.commons.text.StringSubstitutorTest#testReplaceVariablesCount1Escaping5To4,4,1,187.774811
org.apache.commons.text.StringEscapeUtilsTest#testUnescapeEcmaScript,6,4,184.861282
org.apache.commons.text.translate.EntityArraysTest#testAposMap,3,1,187.763412
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendPadding,14,0,193.792023
org.apache.commons.text.lookup.UrlDecoderStringLookupTest#testExclamation,3,2,180.808838
org.apache.commons.text.StrTokenizerTest#test1,14,11,189.923218
org.apache.commons.text.TextStringBuilderTest#testDeleteCharAtWithNegative,3,0,196.074524
org.apache.commons.text.similarity.IntersectionResultTest#testNewIntersectionResult_WithNegativeSizeA,6,1,183.360077
org.apache.commons.text.similarity.IntersectionResultTest#testNewIntersectionResult_WithNegativeIntersection,6,1,181.634796
org.apache.commons.text.similarity.LevenshteinDetailedDistanceTest#testCreatesLevenshteinDetailedDistanceTakingInteger6,8,7,184.349976
org.apache.commons.text.StrLookupTest#testMapLookup,10,8,184.36142
org.apache.commons.text.ExtendedMessageFormatTest#testBuiltInDateTimeFormat,18,0,351.543701
org.apache.commons.text.StrBuilderTest#testSize,6,0,183.198608
org.apache.commons.text.WordUtilsTest#testAbbreviateForLowerThanMinusOneValues,3,3,183.922836
org.apache.commons.text.TextStringBuilderTest#testLang412Left,5,0,192.633347
org.apache.commons.text.StrTokenizerTest#testBasic1,8,8,185.866745
org.apache.commons.text.StringEscapeUtilsTest#testLang911,6,4,188.904694
org.apache.commons.text.lookup.StringLookupFactoryTest#testAddDefaultStringLookupsMap,5,1,188.01709
org.apache.commons.text.lookup.ConstantStringLookupTest#testLookupNonString,6,3,181.973953
org.apache.commons.text.StrSubstitutorTest#testReplaceComplexEscaping,4,1,187.395874
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendAll_Iterator,11,0,189.622482
org.apache.commons.text.similarity.LongestCommonSubsequenceTest#testGettingLogestCommonSubsequenceNullString,3,1,188.040161
org.apache.commons.text.lookup.FunctionStringLookupTest#testOne,7,4,182.769897
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendln_StringBuilder,7,0,233.437851
org.apache.commons.text.similarity.CosineSimilarityTest#testCosineSimilarityReturningDoubleWhereByteValueIsZero,5,2,187.863708
org.apache.commons.text.similarity.JaccardDistanceTest#testGettingJaccardDistanceStringNull,3,1,188.838089
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendWithSeparators_Iterator,17,0,191.105774
org.apache.commons.text.io.StringSubstitutorFilterReaderTest#testReadMixedBufferLengthsVarLenPlusToNoReplace,13,0,199.481125
org.apache.commons.text.StringTokenizerTest#testConstructor_String_char_char,14,20,188.38002
org.apache.commons.text.WordUtilsTest#testAbbreviateForLowerValue,7,11,202.371857
org.apache.commons.text.similarity.StringMetricFromTest#testJavadocExample,16,0,192.095612
org.apache.commons.text.StrBuilderAppendInsertTest#testAppendln_CharArray_int_int,19,0,190.967667
org.apache.commons.text.StrBuilderAppendInsertTest#testAppend_String,12,0,188.211395
org.apache.commons.text.WordUtilsTest#testInitialsSurrogatePairs,9,8,187.510529
org.apache.commons.text.similarity.LevenshteinDetailedDistanceTest#testGetLevenshteinDetailedDistance_NullStringInt,3,1,186.283447
org.apache.commons.text.TextStringBuilderTest#testGetCharsIntIntCharArrayInt,19,0,191.790985
org.apache.commons.text.StringSubstitutorTest#testReplaceEmptyString,3,1,190.584656
org.apache.commons.text.StringSubstitutorTest#testReplaceAdjacentAtEnd,6,3,190.949371
org.apache.commons.text.StrBuilderTest#testLang294,5,0,190.271805
org.apache.commons.text.translate.SinglePassTranslatorTest#codePointsAreReturned,5,7,187.463821
org.apache.commons.text.WordUtilsTest#testAbbreviateForUpperLimitAndAppendedString,5,7,193.310577
org.apache.commons.text.lookup.LocalHostStringLookupTest#testBadKey,3,1,185.203491
org.apache.commons.text.TextStringBuilderTest#testAsWriter,24,0,187.487549
org.apache.commons.text.numbers.DoubleFormatTest#testScientific_custom,2,15,183.96431
org.apache.commons.text.TextStringBuilderTest#testContains_char,7,0,184.228165
org.apache.commons.text.translate.UnicodeUnpairedSurrogateRemoverTest#testInvalidCharacters,5,4,188.763763
org.apache.commons.text.TextStringBuilderTest#testReplace_StringMatcher_String_int_int_int_VaryStartIndex,41,0,189.716721
org.apache.commons.text.matcher.StringMatcherOnCharArrayTest#testSpaceMatcher,11,0,192.004288
org.apache.commons.text.lookup.InterpolatorStringLookupTest#testLookup,15,9,181.37413
org.apache.commons.text.TextStringBuilderTest#testSize,6,0,186.037003
org.apache.commons.text.translate.UnicodeEscaperTest#testBelow,6,3,186.761047
org.apache.commons.text.translate.UnicodeUnescaperTest#testLessThanFour,5,1,183.583572
org.apache.commons.text.numbers.ParsedDecimalTest#testMaxPrecision_halfEvenRounding,12,0,185.832489
org.apache.commons.text.StringSubstitutorTest#testReplace_JiraText178_WeirdPatterns2,3,1,188.843155
org.apache.commons.text.StringSubstitutorWithInterpolatorStringLookupTest#testJavaScript_disabledByDefault,4,0,185.365936
org.apache.commons.text.WordUtilsTest#testWrapWithMultipleRegexMatchOfLength0,3,3,189.901749
org.apache.commons.text.StringTokenizerTest#testBasicDelim2,6,6,186.03302
org.apache.commons.text.matcher.StringMatcherOnCharSequenceStringTest#testTabMatcher,11,0,190.710114
org.apache.commons.text.TextStringBuilderTest#testWrap_CharArray,18,0,190.465088
org.apache.commons.text.similarity.SimilarityScoreFromTest#testFailsToCreateSimilarityScoreFromThrowsIllegalArgumentException,3,0,187.869217
org.apache.commons.text.StringEscapeUtilsTest#testEscapeCsvWriter,10,1,186.025085
org.apache.commons.text.numbers.DoubleFormatTest#testEngineering_localeFormatComparison,3,8,251.081345
org.apache.commons.text.StringSubstitutorWithInterpolatorStringLookupTest#testMapAndSystemProperty,10,0,179.935776
org.apache.commons.text.StringSubstitutorTest#testReplaceThrowsStringIndexOutOfBoundsException,8,4,191.883255
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendFixedWidthPadRight_int,24,0,192.636688
org.apache.commons.text.TextStringBuilderAppendInsertTest#testAppendAll_Array,14,0,186.817368
