testcase,loc,median_elapsed_time,median_power,median_energy_consumed
com.google.gson.internal.reflect.Java17ReflectionHelperTest#testJava17Record,8,14.788826,11.837675,174.486359
com.google.gson.functional.ReflectionAccessFilterTest#testBlockAllCollectionInterface,10,16.061879,11.866195,190.294235
com.google.gson.stream.JsonReaderPathTest#skipEndOfDocument,13,15.757797,11.87093,186.603378
com.google.gson.functional.VersioningTest#testIgnoreLaterVersionClassSerialization,4,15.947827,11.85527,189.348892
com.google.gson.stream.JsonReaderPathTest#objectOfObjects,45,15.964113,11.88357,190.633545
com.google.gson.JsonObjectTest#testAddingNullPropertyValue,9,15.962748,11.948479,189.492004
com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypesWithCustomDeserializer,17,16.09615,11.86312,190.547348
com.google.gson.stream.JsonReaderPathTest#arrayOfObjects,27,15.972889,11.873063,189.64711
com.google.gson.JsonObjectAsMapTest#testSize,10,16.071718,11.840183,191.292603
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateFormatWithTimezone,7,16.144137,11.899885,192.113373
com.google.gson.functional.VersioningTest#testVersionedGsonMixingSinceAndUntilSerialization,15,15.979776,11.886306,190.508301
com.google.gson.functional.VersioningTest#testVersionedUntilDeserialization,12,16.738849,12.248223,204.130814
com.google.gson.functional.ParameterizedTypesTest#testVariableTypeDeserialization,9,16.941525,12.235488,207.287827
com.google.gson.functional.GsonVersionDiagnosticsTest#testAssertionErrorInDeserializationPrintsVersion,9,15.996598,11.863762,190.220871
com.google.gson.JsonObjectTest#testAddingNullOrEmptyPropertyName,11,15.859685,11.867202,189.108994
com.google.gson.JsonArrayTest#testFailedGetArrayValues,62,16.353251,11.89096,193.78624
com.google.gson.functional.VersioningTest#testVersionedUntilSerialization,12,16.180031,11.813493,191.019821
com.google.gson.JsonObjectAsMapTest#testKeySet,17,15.785378,11.871258,187.289215
com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeWithReaderDeserialization,12,16.366817,11.945612,195.511642
com.google.gson.functional.ReflectionAccessFilterTest#testBlockInaccessibleJavaExtendingJdkClass,10,16.061389,11.874076,190.714157
com.google.gson.functional.TypeAdapterRuntimeTypeWrapperTest#testJsonDeserializer_ReflectiveSerializerDelegate,5,16.095621,11.895423,191.511032
com.google.gson.JsonArrayTest#testNullJsonElementAddition,5,16.539205,11.921711,198.192123
com.google.gson.FieldNamingPolicyTest#testSeparateCamelCase,6,16.064749,11.880081,191.902054
com.google.gson.JsonObjectTest#testAddingStringProperties,10,15.892806,11.879763,189.09581
com.google.gson.JsonObjectAsMapTest#testPut,28,16.107716,11.88613,191.458405
com.google.gson.VersionExclusionStrategyTest#testNewerVersion,9,16.050156,11.843802,189.517822
com.google.gson.JsonObjectAsMapTest#testContainsValue,11,15.860991,11.885847,188.477173
com.google.gson.functional.ParameterizedTypesTest#testVariableTypeFieldsAndGenericArraysSerialization,14,16.364741,11.942744,195.439911
com.google.gson.GsonBuilderTest#testDisableJdkUnsafe,10,16.099409,11.869725,190.114639
com.google.gson.JsonObjectTest#testEqualsHashCodeIgnoringOrder,11,16.177053,11.910611,192.378296
com.google.gson.FieldNamingPolicyTest#testUpperCasingLocaleIndependent,20,15.976359,11.833535,189.166443
com.google.gson.TypeAdapterTest#testToJson_ThrowingIOException,26,15.975872,11.87107,189.508591
com.google.gson.JsonObjectAsMapTest#testGet,8,15.863423,11.868732,187.44516
com.google.gson.JsonObjectTest#testEqualsNonEmptyObject,16,15.755962,11.873315,187.726746
com.google.gson.graph.GraphAdapterBuilderTest#testDeserializeListOfLists,15,15.577143,11.811541,183.990067
com.google.gson.JsonObjectTest#testAddingAndRemovingObjectProperties,14,15.976484,11.815506,188.770233
com.google.gson.functional.TypeAdapterRuntimeTypeWrapperTest#testJsonDeserializer_SubclassBackwardCompatibility,15,16.231244,11.85192,192.02507
com.google.gson.graph.GraphAdapterBuilderTest#testDeserialization,13,15.700899,11.942047,187.500885
com.google.gson.stream.JsonReaderPathTest#skipArrayElements,8,15.842044,11.84321,187.495911
com.google.gson.functional.ParameterizedTypesTest#testVariableTypeArrayDeserialization,10,15.994032,11.896143,190.326355
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateParseWithDefaultTimezone,6,16.148221,11.901858,191.079865
com.google.gson.functional.ReflectionAccessFilterTest#testInaccessibleNoArgsConstructor,15,16.098351,11.861274,190.809189
com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypesWithWriterSerialization,9,16.065565,11.940939,191.837921
com.google.gson.VersionExclusionStrategyTest#testSameVersion,9,15.865382,11.894656,188.708527
com.google.gson.JsonArrayAsListTest#testIndexOf,14,15.979493,11.85851,188.999359
com.google.gson.functional.TypeAdapterRuntimeTypeWrapperTest#testJsonDeserializer_ReflectiveTreeSerializerDelegate,5,16.164662,11.800156,190.652893
com.google.gson.JsonArrayAsListTest#testRemoveElement,10,15.878772,11.828091,187.815552
com.google.gson.functional.Java17RecordTest#testClassReflectionFilter,10,14.735061,11.887269,175.159637
com.google.gson.JsonArrayTest#testIntegerPrimitiveAddition,15,15.96538,11.929903,190.465439
com.google.gson.JsonArrayTest#testEqualsNonEmptyArray,16,16.006619,11.868425,190.216019
com.google.gson.functional.ReflectionAccessFilterTest#testDelegation,24,16.113954,11.882194,190.138672
