TC,LOC,SC,E,P,T,ESLoc,PSLoc,TSLoc,AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
com.google.gson.JsonObjectTest#testAddingCharacterProperties,12,9,187.726257,11.896757,15.862598,250.30167600000001,15.862342666666665,21.150130666666666,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
com.google.gson.internal.JavaVersionTest#testJava9,8,13,189.39711,11.847798,15.999914,116.55206769230769,7.290952615384615,9.846100923076923,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.JsonObjectTest#testDeepCopy,9,9,188.974335,11.900669,15.938834,188.974335,11.900669,15.938834,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4
com.google.gson.internal.JavaVersionTest#testJava6,3,3,190.764847,11.867108,16.080449,190.764847,11.867108,16.080449,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.FieldNamingPolicyTest#testUpperCasingLocaleIndependent,20,5,189.166443,11.833535,15.976359,756.665772,47.33414,63.905436,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
com.google.gson.TypeAdapterTest#testFromJson_String_TrailingData,3,2,190.046265,11.885958,15.992923,285.06939750000004,17.828937000000003,23.9893845,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.GsonBuilderTest#testRegisterTypeAdapterForCoreType,6,7,188.630966,11.874615,15.979245,161.68368514285714,10.178241428571429,13.696495714285714,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
com.google.gson.JsonArrayTest#testFailedGetArrayValues,62,17,193.78624,11.89096,16.353251,706.7498164705883,43.367030588235295,59.64126835294118,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,8,0,0,5
com.google.gson.internal.StreamsTest#testWriterForAppendable,2,14,188.162216,11.88897,15.859386,26.880316571428573,1.6984242857142857,2.2656265714285717,6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0
com.google.gson.internal.JavaVersionTest#testJava10,3,3,190.651413,11.852897,16.078068,190.651413,11.852897,16.078068,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.JsonArrayTest#testMixedPrimitiveAddition,14,11,186.993027,11.809809,15.773975,237.9911252727273,15.030666,20.075968181818183,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5
com.google.gson.JsonArrayTest#testDoublePrimitiveAddition,14,6,192.471268,11.929285,16.087519,449.0996253333334,27.834998333333335,37.53754433333334,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
com.google.gson.JsonArrayTest#testNullPrimitiveAddition,16,10,190.605682,11.89668,15.996922,304.9690912,19.034688,25.5950752,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5
com.google.gson.JsonObjectTest#testWritePropertyWithEmptyStringName,5,4,189.740158,11.877227,16.044217,237.1751975,14.846533749999999,20.055271249999997,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
com.google.gson.JsonArrayTest#testIsEmpty,9,8,189.653946,11.848178,15.987284,213.36068925,13.329200250000001,17.9856945,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
com.google.gson.FieldNamingPolicyTest#testLowerCasingLocaleIndependent,20,5,189.023407,11.876116,15.929371,756.093628,47.504464,63.717484,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
com.google.gson.JsonObjectTest#testAddingNullPropertyValue,9,8,189.492004,11.948479,15.962748,213.17850450000003,13.442038875000001,17.958091500000002,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
com.google.gson.JsonObjectTest#testSize,10,14,191.523331,11.916472,16.07215,136.8023792857143,8.511765714285715,11.480107142857143,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,4
com.google.gson.JsonObjectTest#testPropertyWithQuotes,6,4,188.327713,11.832837,15.898209,282.4915695,17.7492555,23.847313500000002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateParseWithDefaultTimezone,6,2,191.079865,11.901858,16.148221,573.2395950000001,35.705574000000006,48.444663,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.JsonArrayTest#testEqualsNonEmptyArray,16,13,190.216019,11.868425,16.006619,234.11202338461538,14.607292307692308,19.700454153846156,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
com.google.gson.JsonObjectTest#testAddingBooleanProperties,9,8,191.464645,11.927848,16.137027,215.397725625,13.418829,18.154155375000002,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateFormatString,9,3,189.897919,11.883283,15.941003,569.693757,35.649849,47.823009000000006,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.JsonArrayTest#testIntegerPrimitiveAddition,15,6,190.465439,11.929903,15.96538,476.1635975,29.824757499999997,39.91345,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
com.google.gson.FieldNamingPolicyTest#testSeparateCamelCase,6,2,191.902054,11.880081,16.064749,575.7061620000001,35.640243000000005,48.194247,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
com.google.gson.JsonObjectTest#testReadPropertyWithEmptyStringName,4,3,206.97728,12.299665,16.937607,275.9697066666667,16.399553333333333,22.583476,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.JsonObjectTest#testKeySet,23,23,191.417831,11.892652,16.095471,191.417831,11.892652,16.095471,10,1,0,0,0,0,0,4,1,0,0,0,0,1,0,0,1,0,0,0,5
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateParseInvalidDay,9,2,190.250473,11.940784,15.95135,856.1271285,53.73352800000001,71.781075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
com.google.gson.JsonArrayTest#testSameAddition,14,6,187.450668,11.869694,15.868344,437.38489200000004,27.69595266666667,37.026136,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
com.google.gson.JsonObjectTest#testAddingNullOrEmptyPropertyName,11,4,189.108994,11.867202,15.859685,520.0497335,32.6348055,43.61413375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateParseSpecialTimezone,8,2,191.820129,11.894107,16.083308,767.280516,47.576428,64.333232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.JsonObjectTest#testEqualsNonEmptyObject,16,13,187.726746,11.873315,15.755962,231.04830276923076,14.613310769230768,19.391953230769232,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateParseWithTimezone,8,2,189.287979,11.867999,15.950701,757.151916,47.471996,63.802804,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.GsonBuilderTest#testDisableJdkUnsafe,10,7,190.114639,11.869725,16.099409,271.59234142857144,16.956750000000003,22.999155714285717,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
com.google.gson.JsonArrayTest#testEqualsOnEmptyArray,3,2,187.688065,11.84661,15.887252,281.5320975,17.769915,23.830878000000002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
com.google.gson.JsonArrayTest#testBooleanPrimitiveAddition,10,6,186.738068,11.82196,15.795863,311.23011333333335,19.703266666666668,26.326438333333336,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
com.google.gson.GsonBuilderTest#testCreatingMoreThanOnce,15,19,190.403,11.879659,16.031292,150.31815789473686,9.378678157894738,12.656283157894737,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
com.google.gson.FieldNamingPolicyTest#testUpperCaseFirstLetter,6,2,187.359467,11.865471,15.79031,562.078401,35.596413,47.37093,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
com.google.gson.internal.bind.util.ISO8601UtilsTest#testDateParseInvalidMonth,9,2,187.865646,11.853465,15.831167,845.3954070000001,53.3405925,71.24025150000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
com.google.gson.JsonArrayTest#testCharPrimitiveAddition,11,6,187.620575,11.896883,15.791912,343.9710541666667,21.81095216666667,28.951838666666667,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
