TC,LOC,SC,E
com.google.gson.JsonArrayTest#testSameAddition,14,6,187.450668
com.google.gson.JsonObjectTest#testAddingNullPropertyValue,9,8,189.492004
com.google.gson.functional.VersioningTest#testIgnoreLaterVersionClassSerialization,4,0,189.348892
com.google.gson.JsonArrayAsListTest#testAdd,37,0,188.827408
com.google.gson.functional.TypeAdapterRuntimeTypeWrapperTest#testJsonDeserializer_CustomSerializerDelegate,13,0,190.818954
com.google.gson.JsonArrayAsListTest#testGet,20,0,189.005951
com.google.gson.functional.ReflectionAccessFilterTest#testBlockAllJavaExtendingJdkClass,10,0,188.883179
com.google.gson.internal.bind.Java17ReflectiveTypeAdapterFactoryTest#testCustomAdapterForRecords,6,0,178.628998
com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeGenericArraysDeserialization,13,0,190.219131
com.google.gson.functional.ReflectionAccessFilterTest#testBlockInaccessibleJava,21,0,190.17807
com.google.gson.stream.JsonReaderPathTest#skipObjectValues,13,0,188.244324
com.google.gson.internal.JavaVersionTest#testJava8,9,15,190.107224
com.google.gson.functional.Java17RecordTest#testObjectDefaultValue,6,0,176.492615
com.google.gson.functional.Java17RecordTest#testConstructorRuns,13,0,174.763184
com.google.gson.functional.ReflectionAccessFilterTest#testBlockInaccessibleJavaExtendingJdkClass,10,0,190.714157
com.google.gson.JsonArrayAsListTest#testSize,8,0,189.541245
com.google.gson.JsonObjectTest#testPropertyWithQuotes,6,4,188.327713
com.google.gson.stream.JsonReaderPathTest#skipNestedStructures,7,0,186.817459
com.google.gson.graph.GraphAdapterBuilderTest#testSerializeListOfLists,16,0,184.541061
com.google.gson.functional.Java17RecordTest#testRecordBaseClass,7,0,174.717789
com.google.gson.functional.GsonVersionDiagnosticsTest#testAssertionErrorInSerializationPrintsVersion,9,0,189.188629
com.google.gson.functional.VersioningTest#testVersionedGsonWithUnversionedClassesSerialization,5,0,191.286179
com.google.gson.GsonBuilderTest#testModificationAfterCreate,28,18,190.342911
com.google.gson.functional.ParameterizedTypesTest#testGsonFromJsonTypeToken,29,0,191.361633
com.google.gson.functional.ParameterizedTypesTest#testParameterizedTypeWithVariableTypeDeserialization,12,0,191.270264
com.google.gson.JsonObjectTest#testEqualsNonEmptyObject,16,13,187.726746
com.google.gson.functional.TypeAdapterRuntimeTypeWrapperTest#testJsonSerializer,10,0,188.35585
com.google.gson.JsonArrayAsListTest#testSet,28,0,188.232117
com.google.gson.JsonArrayTest#testMixedPrimitiveAddition,14,11,186.993027
