TC,LOC,SC,E,P,T,E/SC,P/SC,T/SC,E/(SC/Loc),P/(SC/Loc),T/(SC/Loc),AR,ET,MG,ST,UT,RA,DepT,MNT,CTL,EmT,GF,IgT,SE,VT,DT,RO,DA,EH,CI,RP,LT
org.jsoup.parser.TokeniserStateTest#testEndTagOpen,21,5,113.939819,11.445606,9.994466,22.7879638,2.2891212,1.9988932,478.5472398,48.0715452,41.9767572,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
org.jsoup.nodes.ElementTest#testGetElementsWithAttribute,9,9,114.476593,11.401798,10.015562,12.719621444444444,1.2668664444444444,1.1128402222222222,114.476593,11.401798,10.015562,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2
org.jsoup.internal.StringUtilTest#normaliseWhiteSpaceHandlesHighSurrogates,7,3,111.718613,11.515354,9.728235,37.23953766666667,3.8384513333333334,3.2427449999999998,260.6767636666667,26.869159333333336,22.699215000000002,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.jsoup.select.ElementsTest#nodesEmpty,4,5,108.970215,11.384052,9.61734,21.794043,2.2768104,1.9234680000000002,87.176172,9.1072416,7.693872000000001,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
org.jsoup.select.SelectorTest#matchesWholeOwnText,13,11,115.819611,11.440728,10.123448,10.529055545454545,1.0400661818181818,0.9203134545454545,136.8777220909091,13.520860363636364,11.96407490909091,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.select.SelectorTest#selectFirst,5,1,119.385239,11.492682,10.397555,119.385239,11.492682,10.397555,596.926195,57.463409999999996,51.987775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.select.SelectorTest#xml_lowercase_simple_name,4,2,112.731308,11.443245,9.916779,56.365654,5.7216225,4.9583895,225.462616,22.88649,19.833558,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.select.SelectorTest#testByClass,10,8,111.145309,11.370759,9.782182,13.893163625,1.421344875,1.22277275,138.93163625,14.21344875,12.2277275,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.nodes.EntitiesTest#quoteReplacements,5,2,114.072708,11.524412,9.898354,57.036354,5.762206,4.949177,285.18177,28.81103,24.745884999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.jsoup.nodes.ElementTest#testGetElementById,11,9,120.05542,11.428743,10.516191,13.33949111111111,1.2698603333333334,1.1684656666666666,146.7344022222222,13.968463666666667,12.853122333333332,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
org.jsoup.select.SelectorTest#trimSelector,6,3,119.829651,11.441167,10.396955,39.943217,3.813722333333333,3.4656516666666666,239.659302,22.882334,20.79391,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.safety.CleanerTest#testHandlesEmptyAttributes,5,1,109.619873,11.349355,9.7318,109.619873,11.349355,9.7318,548.0993649999999,56.74677499999999,48.659,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.select.ElementsTest#before,5,4,118.194305,11.486373,10.307184,29.54857625,2.87159325,2.576796,147.74288124999998,14.35796625,12.88398,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.jsoup.nodes.DocumentTest#testMetaCharsetUpdateXmlDisabledNoChanges,8,4,116.827499,11.46135,10.195204,29.20687475,2.8653375,2.548801,233.654998,22.9227,20.390408,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
org.jsoup.parser.XmlTreeBuilderTest#disablesPrettyPrintingByDefault,5,1,112.994568,11.468911,9.899841,112.994568,11.468911,9.899841,564.97284,57.344555,49.499204999999996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.safety.CleanerTest#testRemoveAttributes,5,1,113.768616,11.425594,9.967985,113.768616,11.425594,9.967985,568.84308,57.12797,49.839925,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.nodes.ElementTest#booleanAttributeOutput,5,2,121.980881,11.511569,10.588857,60.9904405,5.7557845,5.2944285,304.9522025,28.778922499999997,26.4721425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.jsoup.safety.CleanerTest#resolvesRelativeLinks,5,1,117.814529,11.452594,10.287148,117.814529,11.452594,10.287148,589.072645,57.262969999999996,51.435739999999996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.parser.TokeniserStateTest#handlesLessInTagThanAsNewTag,5,1,119.873642,11.499172,10.393949,119.873642,11.499172,10.393949,599.36821,57.49585999999999,51.969744999999996,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.nodes.NodeTest#handlesAbsOnProtocolessAbsoluteUris,10,6,114.042709,11.447575,9.919064,19.007118166666668,1.9079291666666667,1.6531773333333335,190.0711816666667,19.07929166666667,16.531773333333334,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.jsoup.nodes.DocumentTest#accessorsWillNormalizeStructure,9,7,118.187088,11.795858,9.973999,16.883869714285716,1.6851225714285716,1.4248569999999998,151.95482742857143,15.166103142857144,12.823712999999998,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.jsoup.nodes.AttributesTest#html,21,23,106.538681,11.344941,9.400263,4.632116565217391,0.4932583043478261,0.40870708695652175,97.27444786956521,10.358424391304347,8.582848826086956,14,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,5
org.jsoup.nodes.EntitiesTest#unescapeMultiChars,8,6,109.893066,11.437829,9.695667,18.315511,1.9063048333333334,1.6159445000000001,146.524088,15.250438666666668,12.927556000000001,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.jsoup.parser.TokeniserTest#handleLargeText,15,5,115.356812,11.442934,10.084323,23.0713624,2.2885868,2.0168646,346.07043600000003,34.328802,30.252969,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.select.SelectorTest#testWildCardNamespacedCaseVariations,13,8,113.408768,11.452588,9.902458,14.176096,1.4315735,1.23780725,184.289248,18.6104555,16.091494249999997,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.parser.TokeniserStateTest#testRCDATAEndTagName,8,2,108.74614,11.375155,9.586003,54.37307,5.6875775,4.7930015,434.98456,45.50062,38.344012,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.select.SelectorTest#testByAttributeRegex,8,5,116.106415,11.482922,10.115406,23.221283,2.2965844,2.0230812,185.770264,18.3726752,16.1846496,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
org.jsoup.nodes.ElementTest#testCssPathDuplicateIds,12,9,115.187164,11.408321,10.101645,12.798573777777777,1.2675912222222223,1.1224049999999999,153.58288533333334,15.211094666666668,13.46886,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.jsoup.nodes.AttributesTest#testBooleans,5,2,117.390305,11.505832,10.215041,58.6951525,5.752916,5.1075205,293.4757625,28.76458,25.5376025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
org.jsoup.nodes.ElementTest#prependChildren,8,4,116.918762,11.466541,10.21812,29.2296905,2.86663525,2.55453,233.837524,22.933082,20.43624,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
org.jsoup.parser.XmlTreeBuilderTest#testParseDeclarationAttributes,10,5,116.133194,11.491718,10.10307,23.2266388,2.2983436,2.020614,232.266388,22.983436,20.20614,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
