TC,LOC,SC,E
org.jsoup.nodes.ElementTest#elementByTagName,4,4,117.73555
org.jsoup.select.XpathTest#canSelectTextNodes,14,0,118.080353
org.jsoup.parser.HtmlParserTest#testNoSpuriousSpace,5,0,112.512238
org.jsoup.nodes.AttributeTest#testWithSupplementaryCharacterInAttributeKeyAndValue,6,7,118.620224
org.jsoup.helper.HttpConnectionTest#inputStream,10,9,114.478287
org.jsoup.integration.FuzzFixesTest#blankAbsAttr,5,0,108.787369
org.jsoup.nodes.ElementTest#testKeepsPreTextAtDepth,6,5,115.192413
org.jsoup.nodes.ElementTest#testOuterHtml,4,1,118.820328
org.jsoup.nodes.AttributesTest#testIteratorSkipsInternal,18,14,115.429062
org.jsoup.nodes.ElementTest#testClonesClassnames,21,20,116.191055
org.jsoup.parser.HtmlParserTest#handlesMultiClosingBody,6,0,123.297699
org.jsoup.integration.UrlConnectTest#handlesDodgyCharset,9,0,111.524399
org.jsoup.parser.CharacterReaderTest#consumeLetterSequence,7,8,105.792572
org.jsoup.nodes.DocumentTest#accessorsWillNormalizeStructure,9,7,118.187088
org.jsoup.select.SelectorTest#selectorExceptionNotStringFormatException,4,1,112.921783
org.jsoup.helper.HttpConnectionTest#userAgent,6,6,113.733276
org.jsoup.integration.ConnectTest#canConnectToLocalServer,6,0,122.380371
org.jsoup.integration.ConnectTest#handlesWrongContentLengthDuringBufferedRead,6,0,122.568634
org.jsoup.parser.HtmlParserTest#testRelaxedTags,4,0,126.950684
org.jsoup.nodes.EntitiesTest#escape,18,13,107.078659
org.jsoup.parser.HtmlTreeBuilderTest#ensureSearchArraysAreSorted,5,2,107.710297
org.jsoup.parser.AttributeParseTest#parsesEmptyString,6,0,113.702438
org.jsoup.nodes.ElementTest#testGetElementsWithAttributeValue,8,7,118.039322
org.jsoup.parser.HtmlParserTest#testHgroup,4,0,119.450623
org.jsoup.helper.W3CDomTest#convertsElementsAndMaintainsSource,15,9,118.35791
org.jsoup.nodes.AttributeTest#booleanAttributesAreEmptyStringValues,10,10,118.344971
org.jsoup.safety.CleanerTest#simpleBehaviourTest,5,1,114.582794
org.jsoup.helper.HttpConnectionTest#throwsOnMalformedUrl,3,1,112.797424
org.jsoup.internal.StringUtilTest#normaliseWhiteSpace,6,5,112.11348
org.jsoup.internal.StringUtilTest#normaliseWhiteSpaceHandlesHighSurrogates,7,3,111.718613
org.jsoup.parser.HtmlParserTest#parsesRoughAttributes,7,0,119.050812
org.jsoup.parser.HtmlParserTest#associatedFormControlsWithDisjointForms,12,0,116.496185
org.jsoup.nodes.ElementTest#dataset,25,23,112.092041
org.jsoup.parser.XmlTreeBuilderTest#xmlParseDefaultsToHtmlOutputSyntax,4,1,115.553024
org.jsoup.internal.StringUtilTest#allowsSpaceInUrl,3,2,116.002472
org.jsoup.select.SelectorTest#testNestedHas,14,14,116.620712
org.jsoup.nodes.ElementTest#accessorsDoNotVivifyAttributes,13,11,111.369431
org.jsoup.parser.HtmlParserTest#reconstructFormattingElements,5,0,121.269196
org.jsoup.select.SelectorTest#notAll,7,4,119.966095
org.jsoup.nodes.ElementTest#testKeepsPreText,5,2,123.821655
org.jsoup.integration.ParseTest#testXwiki,7,0,114.536453
org.jsoup.parser.HtmlParserTest#doesNotCreateImplicitLists,16,0,113.687927
org.jsoup.safety.CleanerTest#testCleanAnchorProtocol,13,5,118.93483
org.jsoup.parser.HtmlParserTest#parsesBodyFragment,6,0,123.09346
org.jsoup.nodes.ElementTest#insertChildrenArgumentValidation,24,10,111.089996
org.jsoup.nodes.TextNodeTest#testSplitAnEmbolden,8,3,114.23439
org.jsoup.parser.HtmlParserTest#handlesTextArea,6,0,112.830917
org.jsoup.parser.HtmlParserTest#canDetectAutomaticallyAddedElements,6,0,115.101303
org.jsoup.safety.CleanerTest#bailsIfRemovingProtocolThatsNotSet,8,0,116.211777
org.jsoup.select.ElementsTest#not,9,10,107.127274
org.jsoup.parser.HtmlParserTest#testUNewlines,7,0,114.516418
org.jsoup.parser.HtmlParserTest#trimNormalizeElementNamesInBuilder,5,0,118.902054
org.jsoup.parser.HtmlParserTest#nestedTemplateInBody,14,0,114.15564
org.jsoup.integration.ParseTest#testWikiExpandedFromString,8,0,115.870071
org.jsoup.select.ElementsTest#classWithHyphen,6,6,114.127106
org.jsoup.helper.DataUtilTest#handlesFakeGzipFile,6,4,109.827759
org.jsoup.parser.HtmlParserTest#handlesKnownEmptyBlocks,5,0,122.86998
org.jsoup.helper.DataUtilTest#firstMetaElementWithCharsetShouldBeUsedForDecoding,5,1,119.521271
org.jsoup.nodes.NodeTest#handlesAbsPrefix,7,6,115.463425
org.jsoup.helper.HttpConnectionTest#referrer,5,5,111.907379
org.jsoup.parser.HtmlParserTest#retainsAttributesOfDifferentCaseIfSensitive,6,0,114.136047
org.jsoup.nodes.ElementTest#testPrependElement,7,6,120.763031
org.jsoup.parser.XmlTreeBuilderTest#customTagsAreFlyweights,13,4,119.926773
org.jsoup.nodes.ElementTest#after,8,6,124.706085
org.jsoup.nodes.ElementTest#testThrowsOnPrependNullText,8,3,124.990311
org.jsoup.integration.UrlConnectTest#fetchViaHttpProxy,6,0,109.878311
org.jsoup.nodes.ElementTest#testSetHtmlTitle,11,6,115.044022
org.jsoup.select.CssTest#firstOfType,3,0,114.588959
org.jsoup.select.QueryParserTest#testParsesSingleQuoteInContains,3,1,112.02626
org.jsoup.parser.HtmlTreeBuilderTest#nonnull,7,0,111.025635
org.jsoup.nodes.FormElementTest#adoptedFormsRetainInputs,10,6,121.349945
org.jsoup.select.ElementsTest#filter,8,9,108.086792
org.jsoup.select.SelectorTest#selectFirstWithOr,5,1,113.462463
org.jsoup.parser.TagTest#divSemantics,5,6,114.718323
org.jsoup.parser.TokeniserStateTest#rcData,4,1,108.566452
org.jsoup.nodes.NodeTest#supportsClone,14,10,118.705917
org.jsoup.select.XpathTest#supportsPrefixes,16,0,107.935364
org.jsoup.select.ElementsTest#text,5,4,119.261261
