App;TestFileName;ProductionFileName;LOC;numberMethods;Assertion Roulette;Eager Test;Mystery Guest;Sleepy Test;Unknown Test;Redundant Assertion;Dependent Test;Magic Number Test;Conditional Test Logic;EmptyTest;General Fixture;IgnoredTest;Sensitive Equality;Verbose Test;Default Test;Resource Optimism;Duplicate Assert;Exception Catching Throwing;Constructor Initialization;Print Statement;Lazy Test
commons-lang;ArraySorterTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/ArraySorter.java;100;9;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
commons-lang;MutableDoubleTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/mutable/MutableDouble.java;284;26;72;24;0;0;0;4;0;44;0;0;0;0;3;0;0;0;1;0;0;0;10
commons-lang;MutableShortTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/mutable/MutableShort.java;257;22;69;21;0;0;0;4;0;13;0;0;0;0;3;0;0;0;0;0;0;0;8
commons-lang;MutableBooleanTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/mutable/MutableBoolean.java;145;9;40;7;0;0;0;4;0;4;0;0;0;0;4;0;0;0;2;0;0;0;4
commons-lang;MutableLongTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/mutable/MutableLong.java;275;25;73;23;0;0;0;4;0;34;0;0;0;0;3;0;0;0;0;0;0;0;9
commons-lang;MutableFloatTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/mutable/MutableFloat.java;285;26;72;24;0;0;0;4;0;44;0;0;0;0;3;0;0;0;2;0;0;0;10
commons-lang;MutableByteTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/mutable/MutableByte.java;271;25;69;23;0;0;0;4;0;13;0;0;0;0;3;0;0;0;0;0;0;0;10
commons-lang;MutableIntTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/mutable/MutableInt.java;281;26;72;23;0;0;1;4;0;43;0;0;0;1;3;0;0;0;0;0;0;0;9
commons-lang;MutableObjectTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/mutable/MutableObject.java;101;5;28;1;0;0;0;5;0;1;0;0;0;0;3;0;0;0;0;0;0;0;1
commons-lang;LocaleUtilsTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/LocaleUtils.java;557;33;28;1;0;0;0;0;0;1;5;0;0;0;0;2;0;0;1;0;0;0;2
commons-lang;CharSetTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/CharSet.java;471;15;204;10;0;0;0;6;0;40;0;0;0;0;14;7;0;0;30;0;0;0;4
commons-lang;ClassLoaderUtilsTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/ClassLoaderUtils.java;50;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;1
commons-lang;ConversionTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/Conversion.java;1766;45;527;1;0;0;0;0;0;409;3;0;0;0;0;18;0;0;0;0;0;0;4
commons-lang;SystemUtilsTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/SystemUtils.java;885;20;620;0;4;0;0;0;0;1;36;0;0;0;0;6;0;0;78;0;0;2;1
commons-lang;AnnotationUtilsTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/AnnotationUtils.java;528;23;30;0;0;0;0;0;0;0;5;0;0;0;2;1;0;0;0;0;0;0;1
commons-lang;StreamsTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/Streams.java;201;10;10;5;0;0;0;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;3
commons-lang;FluentBitSetTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/util/FluentBitSet.java;1828;48;180;38;0;0;0;0;0;234;107;0;0;0;9;15;0;0;26;13;0;0;17
commons-lang;TripleTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/tuple/Triple.java;153;13;36;8;0;0;0;0;0;19;0;0;0;0;2;0;0;0;0;0;0;0;3
commons-lang;PairTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/tuple/Pair.java;157;13;33;9;0;0;0;0;0;11;0;0;0;0;2;0;0;0;0;0;0;0;6
commons-lang;ImmutablePairTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/tuple/ImmutablePair.java;260;24;62;12;0;0;0;5;0;15;3;0;0;0;6;0;0;0;0;0;0;0;6
commons-lang;MutablePairTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/tuple/MutablePair.java;155;12;37;7;0;0;0;3;0;7;2;0;0;0;4;0;0;0;0;0;0;0;3
commons-lang;ImmutableTripleTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/tuple/ImmutableTriple.java;202;17;54;8;0;0;0;5;0;10;1;0;0;0;7;0;0;0;0;0;0;0;5
commons-lang;MutableTripleTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/tuple/MutableTriple.java;139;11;39;6;0;0;0;3;0;6;0;0;0;0;7;0;0;0;0;0;0;0;4
commons-lang;StringEscapeUtilsTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/StringEscapeUtils.java;573;40;76;7;0;0;2;5;0;1;5;0;0;0;2;0;0;0;0;0;0;0;8
commons-lang;NotImplementedExceptionTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/NotImplementedException.java;58;2;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
commons-lang;StreamsTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/Streams.java;272;23;35;7;0;0;0;0;0;28;2;0;0;0;0;0;0;0;0;0;0;0;3
commons-lang;IntStreamsTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/stream/IntStreams.java;38;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-lang;TypeLiteralTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/reflect/TypeLiteral.java;58;4;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commons-lang;InheritanceUtilsTest;/Users/mrhmisu/.jnose_projects/commons-lang/src/main/java/org/apache/commons/lang3/reflect/InheritanceUtils.java;80;9;12;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;1
